Date,Open,High,Low,Close,Dividends
1994-04-11,19.25,19.625,19.0,19.5,0.0
1994-04-18,19.625,19.625,19.0,19.0,0.0
1994-04-25,19.0,19.125,19.0,19.0,0.0
1994-05-02,19.0,19.125,19.0,19.0,0.0
1994-05-09,19.0,19.0,17.125,17.75,0.0
1994-05-16,17.875,18.5,17.875,18.5,0.0
1994-05-23,18.5,18.5,18.0,18.0,0.0
1994-05-30,18.0,18.5,18.0,18.5,0.0
1994-06-06,18.375,19.0,17.875,18.625,0.0
1994-06-13,18.625,18.625,18.125,18.5,0.0
1994-06-20,18.25,19.25,18.0,18.75,0.45
1994-06-27,18.75,18.75,18.0,18.25,0.0
1994-07-04,18.125,18.375,17.75,17.75,0.0
1994-07-11,18.0,18.25,17.75,18.0,0.0
1994-07-18,17.75,18.0,17.25,17.375,0.0
1994-07-25,17.375,17.375,16.25,16.375,0.0
1994-08-01,16.375,17.875,16.375,17.75,0.0
1994-08-08,17.75,18.0,17.375,17.875,0.0
1994-08-15,17.75,18.0,17.625,17.75,0.0
1994-08-22,17.75,17.75,16.875,17.25,0.0
1994-08-29,17.5,17.875,16.875,17.75,0.0
1994-09-05,17.875,17.875,17.5,17.75,0.0
1994-09-12,17.625,17.625,17.0,17.0,0.0
1994-09-19,17.0,17.125,16.75,17.0,0.0
1994-09-26,16.75,16.875,16.125,16.375,0.45
1994-10-03,16.375,16.375,15.625,16.125,0.0
1994-10-10,16.125,16.25,15.75,16.25,0.0
1994-10-17,16.25,16.375,15.875,16.0,0.0
1994-10-24,15.75,16.0,15.5,15.5,0.0
1994-10-31,15.5,16.125,15.5,16.0,0.0
1994-11-07,16.0,16.25,15.75,16.0,0.0
1994-11-14,16.125,16.125,15.75,15.75,0.0
1994-11-21,15.875,16.0,15.5,15.875,0.0
1994-11-28,15.75,16.125,15.75,16.125,0.0
1994-12-05,16.125,16.125,15.625,16.125,0.0
1994-12-12,16.125,16.125,15.5,15.625,0.0
1994-12-19,15.75,15.875,15.0,15.0,0.45
1994-12-26,15.125,15.625,14.625,15.5,0.0
1995-01-02,15.5,15.625,15.5,15.5,0.0
1995-01-09,15.625,15.875,15.375,15.875,0.0
1995-01-16,15.875,16.0,15.625,16.0,0.0
1995-01-23,15.75,16.0,15.625,15.875,0.0
1995-01-30,16.0,16.0,15.625,16.0,0.0
1995-02-06,15.75,16.125,15.75,16.125,0.0
1995-02-13,16.125,16.125,15.875,16.125,0.0
1995-02-20,16.125,16.25,15.875,16.25,0.0
1995-02-27,16.0,16.125,15.75,16.0,0.0
1995-03-06,16.0,16.0,15.625,15.875,0.0
1995-03-13,15.875,16.0,15.625,15.875,0.0
1995-03-20,16.0,16.0,15.75,16.0,0.0
1995-03-27,16.0,16.0,15.75,15.75,0.45
1995-04-03,15.875,16.0,15.75,15.875,0.0
1995-04-10,16.0,16.0,15.625,15.75,0.0
1995-04-17,15.875,15.875,15.625,15.75,0.0
1995-04-24,15.875,15.875,15.375,15.625,0.0
1995-05-01,15.625,15.625,14.5,15.0,0.0
1995-05-08,15.25,16.0,15.0,15.875,0.0
1995-05-15,15.875,15.875,15.125,15.375,0.0
1995-05-22,15.25,15.375,15.0,15.375,0.0
1995-05-29,15.5,16.0,15.25,16.0,0.0
1995-06-05,15.875,16.375,15.875,16.375,0.0
1995-06-12,16.375,16.875,16.375,16.625,0.0
1995-06-19,16.875,17.0,16.0,16.25,0.0
1995-06-26,16.125,16.625,16.0,16.375,0.45
1995-07-03,16.75,16.875,16.25,16.625,0.0
1995-07-10,16.625,17.0,16.5,16.625,0.0
1995-07-17,16.875,16.875,15.5,16.25,0.0
1995-07-24,16.375,16.875,16.0,16.75,0.0
1995-07-31,16.75,16.75,16.25,16.375,0.0
1995-08-07,16.375,16.875,16.375,16.625,0.0
1995-08-14,16.75,17.0,16.625,17.0,0.0
1995-08-21,17.0,17.0,16.75,16.875,0.0
1995-08-28,16.75,16.875,16.375,16.5,0.0
1995-09-04,16.5,17.0,16.5,17.0,0.0
1995-09-11,16.75,17.375,16.75,17.125,0.0
1995-09-18,17.25,17.375,16.875,17.25,0.0
1995-09-25,17.0,17.375,16.75,16.875,0.45
