Date,Open,High,Low,Close,Dividends
1994-03-01,6.625,7.9375,6.4375,7.375,0.025
1994-04-01,7.125,7.6875,6.875,7.25,0.0
1994-05-01,7.1875,8.25,7.0625,8.0625,0.0
1994-06-01,8.0625,8.625,7.5625,8.1875,0.025
1994-07-01,8.1875,8.8125,7.9375,8.6875,0.0
1994-08-01,8.625,8.8125,7.3125,7.5,0.0
1994-09-01,7.625,7.625,7.125,7.1875,0.025
1994-10-01,7.25,8.0,7.0,7.625,0.0
1994-11-01,7.75,7.8125,6.5625,6.75,0.0
1994-12-01,6.8125,7.0,6.4375,6.9375,0.025
1995-01-01,6.875,7.25,6.375,6.5625,0.0
1995-02-01,6.5625,7.25,6.25,7.125,0.0
1995-03-01,7.0625,7.0625,6.125,6.375,0.025
1995-04-01,6.375,7.0,6.3125,6.8125,0.0
1995-05-01,6.75,8.0,6.6875,7.625,0.0
1995-06-01,7.6875,8.0625,7.5,7.8125,0.025
1995-07-01,7.6875,8.25,7.5625,7.8125,0.0
1995-08-01,7.8125,8.4375,7.8125,8.1875,0.0
1995-09-01,8.1875,9.625,8.0,9.375,0.0275
1995-10-01,9.375,9.625,9.1875,9.3125,0.0
1995-11-01,9.25,10.0,8.125,9.1875,0.0
1995-12-01,9.3125,9.9375,8.3125,9.6875,0.0275
1996-01-01,9.5625,9.5625,8.625,9.3125,0.0
1996-02-01,9.25,9.875,9.25,9.625,0.0
1996-03-01,9.75,11.375,9.625,11.1875,0.0275
1996-04-01,11.1875,11.8125,9.75,11.6875,0.0
1996-05-01,11.5625,12.0625,10.8125,11.25,0.0
1996-06-01,11.25,11.5,9.125,9.125,0.0275
1996-07-01,9.25,9.625,7.1875,8.375,0.0
1996-08-01,8.5,9.5,8.0625,8.0625,0.0
1996-09-01,8.125,8.6875,8.0,8.5625,0.035
1996-10-01,8.5625,9.0625,7.75,8.0625,0.0
1996-11-01,8.0,9.25,7.9375,9.0625,0.0
1996-12-01,9.0,9.5625,7.875,9.0625,0.035
1997-01-01,9.0625,9.875,8.9375,9.375,0.0
1997-02-01,9.375,9.9375,9.25,9.8125,0.0
1997-03-01,9.8125,10.0,8.9375,8.9375,0.035
1997-04-01,9.0,9.5,8.75,8.8125,0.0
1997-05-01,8.875,9.4375,8.6875,9.375,0.0
1997-06-01,9.25,10.75,9.0625,10.53125,0.035
1997-07-01,10.53125,12.03125,10.40625,12.0,0.0
1997-08-01,11.9375,12.28125,11.0625,12.28125,0.0
1997-09-01,12.6875,13.625,12.28125,12.59375,0.045
1997-10-01,12.625,13.375,10.9375,12.125,0.0
1997-11-01,12.1875,12.75,11.6875,12.5,0.0
1997-12-01,12.375,12.9375,11.625,11.9375,0.045
1998-01-01,11.9375,12.09375,10.5,11.0625,0.0
1998-02-01,11.125,12.25,11.0625,12.1875,0.0
1998-03-01,12.15625,12.96875,12.0,12.625,0.045
1998-04-01,12.375,13.09375,12.0625,12.4375,0.0
1998-05-01,12.4375,13.0625,11.9375,12.15625,0.0
1998-06-01,12.15625,12.5,10.65625,11.03125,0.045
1998-07-01,11.15625,12.53125,9.625,9.65625,0.0
1998-08-01,9.6875,10.40625,8.375,8.40625,0.0
1998-09-01,8.40625,9.6875,8.40625,9.40625,0.045
1998-10-01,9.3125,10.5625,9.0625,9.53125,0.0
1998-11-01,9.59375,10.34375,9.125,9.3125,0.0
1998-12-01,9.25,11.875,8.0,11.875,0.245
1999-01-01,11.8125,12.09375,10.71875,11.59375,0.0
1999-02-01,11.65625,12.28125,11.3125,11.8125,0.0
1999-03-01,11.78125,12.65625,9.4375,10.46875,0.05
1999-04-01,10.40625,11.46875,10.0,11.0,0.0
1999-05-01,11.0,12.15625,10.875,11.21875,0.0
1999-06-01,11.21875,12.0625,9.65625,11.5625,0.05
1999-07-01,11.5,11.5625,8.875,8.96875,0.0
1999-08-01,8.96875,9.0,8.3125,8.65625,0.0
1999-09-01,8.625,10.0625,8.34375,10.0625,0.05
1999-10-01,9.875,9.96875,8.59375,8.875,0.0
1999-11-01,8.9375,9.8125,8.9375,9.6875,0.0
1999-12-01,9.625,9.75,8.65625,9.59375,0.05
2000-01-01,9.65625,9.65625,8.5625,9.03125,0.0
2000-02-01,9.0,9.0,7.5,7.53125,0.0
2000-03-01,7.5,10.5625,7.28125,10.375,0.055
2000-04-01,10.1875,11.0,9.375,10.46875,0.0
2000-05-01,10.40625,11.84375,10.40625,11.0,0.0
2000-06-01,11.03125,11.5,9.875,9.875,0.055
2000-07-01,10.0,12.375,10.0,12.34375,0.0
2000-08-01,12.3125,13.0625,11.875,12.40625,0.0
2000-09-01,12.4375,12.5,9.25,10.09375,0.055
2000-10-01,10.1875,11.84375,9.3125,11.59375,0.0
2000-11-01,11.6875,11.6875,10.03125,11.03125,0.0
2000-12-01,11.0625,12.84375,10.78125,12.375,0.065
2001-01-01,12.3125,12.6875,11.0,12.524999618530273,0.0
2001-02-01,12.505000114440918,12.600000381469727,11.225000381469727,11.925000190734863,0.0
2001-03-01,11.824999809265137,12.3100004196167,10.600000381469727,11.225000381469727,0.065
2001-04-01,11.324999809265137,11.949999809265137,10.755000114440918,11.680000305175781,0.0
2001-05-01,11.680000305175781,11.770000457763672,10.600000381469727,11.449999809265137,0.0
2001-06-01,11.449999809265137,11.800000190734863,10.625,11.585000038146973,0.065
2001-07-01,11.585000038146973,11.675000190734863,10.130000114440918,10.380000114440918,0.0
