Date,Open,High,Low,Close,Dividends
1994-02-21,7.375,7.375,6.25,6.4375,0.0
1994-02-28,6.5,6.75,6.4375,6.75,0.0
1994-03-07,6.4375,7.1875,6.4375,7.1875,0.0
1994-03-14,7.1875,7.6875,7.1875,7.625,0.025
1994-03-21,7.625,7.9375,7.625,7.6875,0.0
1994-03-28,7.6875,7.6875,7.25,7.375,0.0
1994-04-04,7.125,7.6875,7.125,7.5,0.0
1994-04-11,7.5,7.625,6.875,6.875,0.0
1994-04-18,7.0,7.3125,6.875,7.25,0.0
1994-04-25,7.1875,7.625,7.125,7.25,0.0
1994-05-02,7.1875,7.4375,7.0625,7.25,0.0
1994-05-09,7.25,7.75,7.25,7.375,0.0
1994-05-16,7.375,7.625,7.375,7.375,0.0
1994-05-23,7.3125,7.8125,7.25,7.8125,0.0
1994-05-30,7.9375,8.25,7.625,7.75,0.0
1994-06-06,7.875,7.9375,7.6875,7.6875,0.025
1994-06-13,7.75,8.5,7.5625,8.25,0.0
1994-06-20,8.125,8.625,8.0625,8.375,0.0
1994-06-27,8.375,8.375,8.0,8.125,0.0
1994-07-04,8.0625,8.3125,8.0625,8.25,0.0
1994-07-11,8.1875,8.3125,7.9375,8.0625,0.0
1994-07-18,8.0625,8.625,8.0,8.5625,0.0
1994-07-25,8.625,8.8125,8.5,8.6875,0.0
1994-08-01,8.625,8.8125,7.625,7.75,0.0
1994-08-08,7.8125,7.875,7.375,7.6875,0.0
1994-08-15,7.625,8.375,7.625,8.25,0.0
1994-08-22,8.125,8.1875,7.4375,7.625,0.0
1994-08-29,7.5625,7.6875,7.3125,7.4375,0.0
1994-09-05,7.4375,7.5625,7.3125,7.3125,0.025
1994-09-12,7.4375,7.4375,7.1875,7.25,0.0
1994-09-19,7.25,7.5625,7.1875,7.1875,0.0
1994-09-26,7.25,7.3125,7.125,7.1875,0.0
1994-10-03,7.25,7.3125,7.0,7.125,0.0
1994-10-10,7.0625,7.6875,7.0625,7.6875,0.0
1994-10-17,7.6875,7.8125,7.4375,7.5625,0.0
1994-10-24,7.5,8.0,7.375,7.625,0.0
1994-10-31,7.625,7.8125,7.4375,7.4375,0.0
1994-11-07,7.4375,7.4375,7.1875,7.25,0.0
1994-11-14,7.25,7.25,7.0625,7.1875,0.0
1994-11-21,7.25,7.25,6.6875,6.75,0.0
1994-11-28,6.75,6.9375,6.5625,6.75,0.0
1994-12-05,6.8125,6.9375,6.5,6.6875,0.025
1994-12-12,6.625,7.0,6.4375,6.6875,0.0
1994-12-19,6.8125,6.8125,6.5625,6.75,0.0
1994-12-26,6.6875,7.0,6.5625,6.9375,0.0
1995-01-02,6.875,7.125,6.6875,7.0,0.0
1995-01-09,7.0,7.125,6.75,7.0625,0.0
1995-01-16,7.0625,7.25,6.75,7.125,0.0
1995-01-23,7.0625,7.125,6.375,6.6875,0.0
1995-01-30,6.625,6.8125,6.5,6.6875,0.0
1995-02-06,6.6875,6.75,6.5,6.5625,0.0
1995-02-13,6.5625,6.875,6.25,6.875,0.0
1995-02-20,6.8125,7.25,6.8125,6.9375,0.0
1995-02-27,6.9375,7.125,6.875,6.9375,0.0
1995-03-06,6.9375,6.9375,6.75,6.75,0.025
1995-03-13,6.8125,6.875,6.3125,6.4375,0.0
1995-03-20,6.5,6.5,6.125,6.25,0.0
1995-03-27,6.3125,6.5,6.125,6.375,0.0
1995-04-03,6.375,6.625,6.3125,6.5625,0.0
1995-04-10,6.5625,6.75,6.5625,6.6875,0.0
1995-04-17,6.75,6.9375,6.625,6.875,0.0
1995-04-24,6.9375,7.0,6.8125,6.8125,0.0
1995-05-01,6.75,6.875,6.6875,6.8125,0.0
1995-05-08,6.875,7.25,6.75,7.1875,0.0
1995-05-15,7.1875,7.5625,7.0625,7.3125,0.0
1995-05-22,7.5625,8.0,7.5,7.6875,0.0
1995-05-29,7.625,7.8125,7.375,7.8125,0.0
1995-06-05,7.75,7.875,7.625,7.75,0.0
1995-06-12,7.75,7.875,7.5625,7.8125,0.025
1995-06-19,7.8125,8.0625,7.5625,7.9375,0.0
1995-06-26,7.875,8.0,7.5,7.8125,0.0
1995-07-03,7.6875,8.0,7.6875,7.75,0.0
1995-07-10,7.75,8.0,7.6875,7.875,0.0
1995-07-17,7.8125,8.1875,7.5625,8.1875,0.0
1995-07-24,8.0625,8.25,7.6875,7.75,0.0
1995-07-31,7.8125,8.125,7.75,8.0625,0.0
1995-08-07,8.0625,8.0625,7.9375,8.0,0.0
1995-08-14,8.0,8.4375,7.875,8.375,0.0
1995-08-21,8.375,8.4375,8.1875,8.25,0.0
1995-08-28,8.25,8.25,7.875,8.125,0.0
1995-09-04,8.0,8.875,8.0,8.75,0.0
1995-09-11,8.75,9.3125,8.6875,9.25,0.0275
1995-09-18,9.25,9.625,9.0625,9.375,0.0
1995-09-25,9.5,9.625,9.0,9.375,0.0
1995-10-02,9.375,9.5625,9.25,9.5625,0.0
1995-10-09,9.5,9.5,9.1875,9.375,0.0
1995-10-16,9.4375,9.625,9.3125,9.5,0.0
1995-10-23,9.5,9.5625,9.25,9.375,0.0
1995-10-30,9.25,9.4375,8.125,8.375,0.0
1995-11-06,8.375,8.75,8.1875,8.75,0.0
1995-11-13,8.875,9.5,8.875,9.0,0.0
1995-11-20,9.0625,9.4375,8.8125,9.0625,0.0
1995-11-27,9.125,10.0,9.0,9.5625,0.0
1995-12-04,9.625,9.9375,9.4375,9.5625,0.0
1995-12-11,9.625,9.625,9.1875,9.5,0.0275
1995-12-18,9.375,9.4375,8.3125,9.0,0.0
1995-12-25,9.0625,9.6875,8.875,9.6875,0.0
1996-01-01,9.5625,9.5625,9.1875,9.4375,0.0
1996-01-08,9.4375,9.4375,8.875,9.0,0.0
1996-01-15,9.0,9.125,8.75,9.0,0.0
1996-01-22,8.9375,9.1875,8.625,8.9375,0.0
1996-01-29,9.0,9.875,8.9375,9.4375,0.0
1996-02-05,9.5,9.625,9.3125,9.5,0.0
1996-02-12,9.5,9.8125,9.4375,9.5,0.0
1996-02-19,9.375,9.625,9.375,9.5625,0.0
1996-02-26,9.6875,9.84375,9.625,9.625,0.0
1996-03-04,10.9375,10.9375,10.6875,10.8125,0.0275
1996-03-11,10.8125,11.125,10.75,11.0,0.0
1996-03-18,11.0,11.375,11.0,11.375,0.0
1996-03-25,11.3125,11.3125,11.1875,11.1875,0.0
1996-04-01,11.1875,11.25,10.0,10.0,0.0
1996-04-08,9.875,11.0,9.75,11.0,0.0
1996-04-15,11.0,11.25,10.5,11.25,0.0
1996-04-22,11.25,11.8125,11.0625,11.6875,0.0
1996-04-29,11.5625,12.0,11.25,11.875,0.0
1996-05-06,11.875,12.0625,11.6875,11.875,0.0
1996-05-13,11.875,11.875,11.3125,11.875,0.0
1996-05-20,11.875,12.0625,11.6875,11.75,0.0
1996-05-27,11.6875,11.875,10.8125,11.25,0.0
1996-06-03,11.25,11.5,10.8125,11.375,0.0
1996-06-10,11.375,11.4375,11.0625,11.25,0.0275
1996-06-17,11.1875,11.3125,10.9375,11.0625,0.0
1996-06-24,11.0625,11.15625,9.125,9.125,0.0
1996-07-01,9.25,9.625,8.9375,9.625,0.0
1996-07-08,9.5625,9.5625,8.875,8.875,0.0
1996-07-15,8.75,8.875,7.8125,7.875,0.0
1996-07-22,7.875,8.0625,7.1875,8.0,0.0
1996-07-29,8.0625,8.5,7.6875,8.125,0.0
1996-08-05,8.125,8.75,8.0625,8.5625,0.0
1996-08-12,8.625,9.5,8.4375,9.375,0.0
1996-08-19,9.3125,9.3125,8.6875,8.9375,0.0
1996-08-26,8.8125,8.8125,8.0625,8.0625,0.0
1996-09-02,8.125,8.5625,8.0625,8.5,0.0
1996-09-09,8.5,8.6875,8.0625,8.1875,0.035
1996-09-16,8.1875,8.4375,8.0,8.25,0.0
1996-09-23,8.1875,8.6875,8.1875,8.6875,0.0
1996-09-30,8.6875,9.0625,8.5625,8.6875,0.0
1996-10-07,8.6875,8.6875,8.25,8.3125,0.0
1996-10-14,8.3125,8.5,8.25,8.4375,0.0
1996-10-21,8.3125,8.375,7.75,7.875,0.0
1996-10-28,7.8125,8.3125,7.8125,8.3125,0.0
1996-11-04,8.1875,8.4375,8.0625,8.3125,0.0
1996-11-11,8.25,9.125,8.25,9.0,0.0
1996-11-18,9.0,9.1875,8.875,9.1875,0.0
1996-11-25,9.125,9.25,8.8125,9.0625,0.0
1996-12-02,9.0,9.4375,8.8125,9.125,0.0
1996-12-09,9.1875,9.5625,8.9375,8.9375,0.035
1996-12-16,9.0,9.25,7.875,9.0625,0.0
1996-12-23,9.0,9.0,8.5625,8.875,0.0
1996-12-30,8.8125,9.5625,8.8125,9.375,0.0
1997-01-06,9.3125,9.875,9.1875,9.5625,0.0
