Date,Open,High,Low,Close,Dividends
1985-01-01,3.875,4.3125,3.625,4.171875,0.015625
1985-02-01,4.171875,4.328125,3.890625,4.109375,0.0
1985-03-01,4.109375,4.140625,3.625,3.984375,0.0
1985-04-01,4.015625,4.171875,3.75,3.953125,0.015625
1985-05-01,3.953125,4.421875,3.84375,4.328125,0.0
1985-06-01,4.34375,4.5,4.09375,4.140625,0.0
1985-07-01,4.140625,4.78125,4.140625,4.609375,0.015625
1985-08-01,4.671875,4.734375,4.4375,4.5,0.0
1985-09-01,4.5,4.625,4.125,4.421875,0.0
1985-10-01,4.421875,4.703125,4.296875,4.4375,0.015625
1985-11-01,4.4375,5.015625,4.40625,4.984375,0.0
1985-12-01,4.984375,5.390625,4.921875,5.25,0.0
1986-01-01,5.25,5.875,4.90625,5.71875,0.015625
1986-02-01,5.71875,6.390625,5.609375,6.34375,0.0
1986-03-01,6.34375,6.703125,6.25,6.578125,0.0
1986-04-01,6.578125,6.921875,5.9375,6.625,0.015625
1986-05-01,6.625,6.890625,6.203125,6.78125,0.0
1986-06-01,6.75,6.75,6.109375,6.21875,0.0
1986-07-01,6.21875,6.609375,5.125,5.578125,0.015625
1986-08-01,5.578125,6.296875,5.53125,6.234375,0.0
1986-09-01,6.25,6.421875,4.640625,4.734375,0.0
1986-10-01,4.734375,4.984375,4.578125,4.984375,0.015625
1986-11-01,4.984375,5.0625,4.640625,4.953125,0.0
1986-12-01,4.953125,5.21875,4.765625,5.015625,0.0
1987-01-01,5.015625,5.6875,4.984375,5.4375,0.015625
1987-02-01,5.4375,6.140625,5.40625,5.734375,0.0
1987-03-01,5.734375,6.171875,5.578125,6.03125,0.0
1987-04-01,6.03125,6.546875,5.609375,6.015625,0.015625
1987-05-01,6.015625,7.15625,6.0,6.484375,0.0
1987-06-01,6.53125,7.0,6.484375,6.6875,0.0
1987-07-01,6.6875,8.234375,6.390625,8.109375,0.015625
1987-08-01,8.109375,8.390625,7.6875,7.734375,0.0
1987-09-01,7.734375,9.34375,7.53125,9.1875,0.0
1987-10-01,9.1875,9.234375,5.1875,6.21875,0.015625
1987-11-01,6.21875,7.65625,6.1875,7.09375,0.0
1987-12-01,7.09375,8.125,6.625,7.75,0.0
1988-01-01,7.75,8.265625,6.984375,7.28125,0.023375
1988-02-01,7.296875,8.125,7.15625,8.125,0.0
1988-03-01,8.125,8.453125,7.609375,7.796875,0.0
1988-04-01,7.796875,8.5625,7.59375,7.84375,0.023375
1988-05-01,7.8125,7.96875,7.296875,7.75,0.0
1988-06-01,7.796875,8.5625,7.796875,8.46875,0.0
1988-07-01,8.46875,8.46875,7.578125,7.78125,0.02375
1988-08-01,7.796875,7.921875,6.765625,6.953125,0.0
1988-09-01,6.9375,7.265625,6.734375,7.1875,0.0
1988-10-01,7.1875,8.015625,7.125,7.71875,0.02375
1988-11-01,7.71875,8.09375,7.4375,7.921875,0.0
1988-12-01,7.921875,8.046875,7.640625,7.953125,0.0
1989-01-01,7.953125,8.625,7.375,7.734375,0.0375
1989-02-01,7.734375,7.734375,7.328125,7.34375,0.0
1989-03-01,7.34375,7.359375,7.015625,7.140625,0.0
1989-04-01,7.140625,7.640625,7.125,7.5625,0.0375
1989-05-01,7.5625,8.078125,7.296875,7.984375,0.0
1989-06-01,7.90625,7.90625,7.1875,7.25,0.0
1989-07-01,7.25,7.609375,7.109375,7.421875,0.0375
1989-08-01,7.453125,8.25,7.453125,8.03125,0.0
1989-09-01,8.03125,8.171875,7.59375,7.625,0.0
1989-10-01,7.625,7.75,6.828125,7.15625,0.0375
1989-11-01,7.140625,7.421875,6.609375,7.328125,0.0
1989-12-01,7.328125,7.65625,6.828125,7.234375,0.0
1990-01-01,7.234375,7.515625,6.6875,6.921875,0.0375
1990-02-01,6.9375,7.578125,6.78125,7.578125,0.0
1990-03-01,7.5625,7.859375,7.40625,7.640625,0.0
1990-04-01,7.578125,7.859375,7.40625,7.671875,0.0375
1990-05-01,7.671875,8.546875,7.625,8.375,0.0
1990-06-01,8.375,8.5625,6.4375,6.578125,0.0
1990-07-01,6.578125,6.8125,5.953125,6.109375,0.0375
1990-08-01,6.109375,6.15625,5.078125,5.375,0.0
1990-09-01,5.375,5.59375,5.109375,5.28125,0.0
1990-10-01,5.28125,5.53125,4.765625,5.09375,0.0375
1990-11-01,5.046875,5.5,4.90625,5.140625,0.0
1990-12-01,5.21875,6.03125,5.1875,5.875,0.0
1991-01-01,5.875,6.3125,5.328125,6.21875,0.0375
1991-02-01,6.21875,6.984375,5.921875,6.828125,0.0
1991-03-01,6.828125,7.203125,5.953125,5.984375,0.0
1991-04-01,5.984375,6.390625,5.78125,5.953125,0.0375
1991-05-01,5.984375,6.5625,5.71875,6.46875,0.0
1991-06-01,6.46875,6.71875,6.078125,6.171875,0.0
1991-07-01,6.171875,6.296875,5.890625,6.140625,0.0375
1991-08-01,6.140625,6.25,5.5625,5.9375,0.0
1991-09-01,5.9375,5.9375,5.53125,5.578125,0.0
1991-10-01,5.578125,6.171875,5.515625,6.0,0.0375
1991-11-01,6.0,6.109375,4.703125,5.15625,0.0
1991-12-01,5.15625,5.5,4.8125,5.484375,0.0
1992-01-01,5.484375,6.046875,5.15625,5.84375,0.01875
1992-02-01,5.84375,6.59375,5.828125,6.109375,0.0
1992-03-01,6.15625,6.484375,5.875,6.25,0.0
1992-04-01,6.21875,7.15625,5.890625,7.015625,0.01875
1992-05-01,7.015625,7.59375,6.6875,7.546875,0.0
1992-06-01,7.546875,7.765625,6.3125,6.71875,0.0
1992-07-01,6.71875,7.015625,6.15625,6.90625,0.01875
1992-08-01,6.90625,6.90625,5.828125,6.03125,0.0
1992-09-01,6.03125,6.6875,5.953125,6.515625,0.0
1992-10-01,6.5,6.71875,6.0,6.53125,0.01875
