Date,Open,High,Low,Close,Dividends
1997-10-13,5.8125,5.8125,5.40625,5.59375,0.0
1997-10-20,5.5,5.75,5.46875,5.71875,0.0
1997-10-27,5.65625,5.75,4.9375,5.5,0.0
1997-11-03,5.625,6.625,5.53125,6.4375,0.0
1997-11-10,6.3125,6.5,5.3125,5.4375,0.0
1997-11-17,5.5,5.875,5.3125,5.53125,0.0
1997-11-24,5.5,5.625,5.234375,5.25,0.0
1997-12-01,5.25,5.75,5.25,5.6875,0.0
1997-12-08,5.6875,5.8125,5.15625,5.15625,0.015
1997-12-15,5.25,5.375,4.9375,4.9375,0.0
1997-12-22,4.9375,5.3125,4.9375,5.0625,0.0
1997-12-29,5.0625,5.78125,5.0,5.78125,0.0
1998-01-05,6.03125,6.09375,5.25,5.5,0.0
1998-01-12,5.375,5.59375,5.3125,5.5625,0.0
1998-01-19,5.5,5.875,5.5,5.8125,0.0
1998-01-26,5.875,5.875,5.625,5.71875,0.0
1998-02-02,5.78125,6.15625,5.78125,5.9375,0.0
1998-02-09,5.90625,6.3125,5.53125,5.9375,0.0
1998-02-16,6.03125,6.03125,5.78125,5.78125,0.0
1998-02-23,5.78125,5.84375,5.46875,5.6875,0.0
1998-03-02,5.601562976837158,5.6875,5.34375,5.4375,0.0
1998-03-09,5.5,5.78125,5.375,5.6875,0.015
1998-03-16,5.75,5.96875,5.625,5.875,0.0
1998-03-23,5.8125,6.15625,5.8125,5.953125,0.0
1998-03-30,5.96875,6.75,5.96875,6.28125,0.0
1998-04-06,6.25,6.5,5.9375,6.0,0.0
1998-04-13,6.0,6.0,5.59375,5.828125,0.0
1998-04-20,5.71875,5.84375,5.6875,5.75,0.0
1998-04-27,5.75,5.75,5.59375,5.734375,0.0
1998-05-04,5.734375,5.78125,5.625,5.6875,0.0
1998-05-11,5.625,5.65625,5.515625,5.59375,0.0
1998-05-18,5.625,5.71875,5.375,5.6875,0.0
1998-05-25,5.71875,5.78125,5.625,5.78125,0.0
1998-06-01,5.78125,6.03125,5.625,5.8125,0.0
1998-06-08,5.75,6.0,5.40625,5.53125,0.015
1998-06-15,5.4375,6.0,5.375,5.96875,0.0
1998-06-22,5.90625,6.1875,5.8125,6.109375,0.0
1998-06-29,6.1875,6.28125,6.125,6.28125,0.0
1998-07-06,6.3125,6.453125,6.0625,6.09375,0.0
1998-07-13,6.15625,6.375,6.03125,6.3125,0.0
1998-07-20,6.28125,6.375,6.21875,6.265625,0.0
1998-07-27,6.125,6.28125,5.546875,6.15625,0.0
1998-08-03,6.15625,6.25,5.71875,5.820312976837158,0.0
1998-08-10,5.78125,5.796875,5.21875,5.515625,0.0
1998-08-17,5.5,6.125,5.5,6.0625,0.0
1998-08-24,5.96875,6.0625,5.625,5.6875,0.0
1998-08-31,5.71875,5.75,3.90625,4.625,0.0
1998-09-07,4.75,5.25,4.375,4.515625,0.015
1998-09-14,4.5625,4.71875,4.34375,4.671875,0.0
1998-09-21,4.5625,5.21875,4.5625,5.0625,0.0
1998-09-28,5.0,5.125,4.71875,4.71875,0.0
1998-10-05,4.8125,4.8125,3.59375,3.921875,0.0
1998-10-12,3.921875,5.3125,3.8125,4.75,0.0
1998-10-19,4.75,5.40625,4.59375,5.1875,0.0
1998-10-26,5.1875,5.59375,5.125,5.546875,0.0
1998-11-02,5.609375,5.96875,5.5,5.921875,0.0
1998-11-09,5.90625,6.03125,5.90625,5.984375,0.0
1998-11-16,6.03125,6.03125,5.570312976837158,5.765625,0.0
1998-11-23,5.71875,5.78125,5.515625,5.609375,0.0
1998-11-30,5.5625,6.171875,5.5625,6.0625,0.0
1998-12-07,6.09375,6.109375,5.84375,5.9375,0.0
1998-12-14,5.914062976837158,6.25,5.8125,6.234375,0.0175
1998-12-21,6.234375,6.4375,6.15625,6.34375,0.0
1998-12-28,6.34375,6.5625,6.34375,6.484375,0.0
1999-01-04,6.453125,6.5,6.25,6.25,0.0
1999-01-11,6.21875,6.6875,6.0,6.515625,0.0
1999-01-18,6.5,6.703125,6.46875,6.59375,0.0
1999-01-25,6.59375,6.90625,6.53125,6.84375,0.0
1999-02-01,6.84375,7.40625,6.78125,7.21875,0.0
1999-02-08,6.96875,7.4375,6.21875,6.296875,0.0
