Date,Open,High,Low,Close,Dividends
1975-04-07,1.1875,1.25,1.171875,1.1875,0.0
1983-03-21,3.609375,3.71875,3.5,3.640625,0.0
1983-03-28,3.625,3.765625,3.609375,3.640625,0.0
1983-04-04,3.65625,3.6875,3.453125,3.546875,0.0
1983-04-11,3.609375,3.765625,3.515625,3.765625,0.0
1983-04-18,3.75,3.796875,3.6875,3.78125,0.0
1983-04-25,3.765625,4.140625,3.65625,4.140625,0.01875
1983-05-02,4.234375,4.25,4.09375,4.109375,0.0
1983-05-09,4.078125,4.234375,3.84375,3.9375,0.0
1983-05-16,3.90625,4.0625,3.828125,3.90625,0.0
1983-05-23,3.875,4.21875,3.828125,4.015625,0.0
1983-05-30,4.046875,4.1875,3.890625,4.078125,0.0
1983-06-06,4.078125,4.5625,3.984375,4.484375,0.0
1983-06-13,4.515625,4.546875,4.265625,4.28125,0.0
1983-06-20,4.28125,4.390625,4.28125,4.34375,0.0
1983-06-27,4.328125,4.359375,4.125,4.1875,0.0
1983-07-04,4.125,4.15625,4.03125,4.109375,0.0
1983-07-11,4.125,4.1875,3.84375,4.125,0.0
1983-07-18,4.09375,4.296875,4.0625,4.21875,0.0
1983-07-25,4.1875,4.234375,4.0625,4.109375,0.0325
1983-08-01,4.109375,4.25,4.078125,4.140625,0.0
1983-08-08,4.078125,4.078125,3.640625,3.765625,0.0
1983-08-15,3.828125,3.875,3.484375,3.59375,0.0
1983-08-22,3.578125,3.625,3.171875,3.296875,0.0
1983-08-29,3.296875,3.5,3.265625,3.40625,0.0
1983-09-05,3.4375,3.53125,3.390625,3.40625,0.0
1983-09-12,3.4375,3.484375,3.140625,3.25,0.0
1983-09-19,3.296875,3.46875,3.25,3.40625,0.0
1983-09-26,3.421875,3.421875,3.0625,3.125,0.0
1983-10-03,3.09375,3.703125,3.078125,3.65625,0.0
1983-10-10,3.671875,3.734375,3.484375,3.609375,0.0
1983-10-17,3.640625,3.703125,3.421875,3.609375,0.0
1983-10-24,3.578125,3.625,3.09375,3.15625,0.0
1983-10-31,3.171875,3.375,3.125,3.1875,0.0325
1983-11-07,3.234375,3.28125,3.15625,3.234375,0.0
1983-11-14,3.21875,3.34375,3.203125,3.265625,0.0
1983-11-21,3.25,3.265625,3.171875,3.21875,0.0
1983-11-28,3.203125,3.34375,3.1875,3.265625,0.0
1983-12-05,3.21875,3.328125,3.203125,3.21875,0.0
1983-12-12,3.25,3.296875,3.15625,3.28125,0.0
1983-12-19,3.265625,3.4375,3.265625,3.359375,0.0
1983-12-26,3.328125,3.375,3.25,3.3125,0.0
1984-01-02,3.34375,3.5,3.21875,3.453125,0.0
1984-01-09,3.421875,3.5625,3.375,3.40625,0.0
1984-01-16,3.390625,3.546875,3.203125,3.46875,0.0
1984-01-23,3.453125,3.6875,3.4375,3.6875,0.0
1984-01-30,3.6875,3.6875,3.46875,3.484375,0.0325
1984-02-06,3.46875,3.5625,3.421875,3.515625,0.0
1984-02-13,3.484375,3.609375,3.453125,3.46875,0.0
1984-02-20,3.4375,3.46875,3.296875,3.328125,0.0
1984-02-27,3.296875,3.375,3.21875,3.375,0.0
1984-03-05,3.34375,3.359375,3.1875,3.25,0.0
1984-03-12,3.25,3.34375,3.171875,3.28125,0.0
1984-03-19,3.265625,3.40625,3.21875,3.390625,0.0
1984-03-26,3.390625,3.421875,3.21875,3.234375,0.0
1984-04-02,3.265625,3.296875,3.203125,3.21875,0.0
1984-04-09,3.234375,3.328125,3.203125,3.28125,0.0
1984-04-16,3.25,3.34375,3.234375,3.296875,0.0
1984-04-23,3.296875,3.390625,3.15625,3.359375,0.0
1984-04-30,3.34375,3.671875,3.328125,3.53125,0.0375
1984-05-07,3.484375,3.65625,3.453125,3.53125,0.0
1984-05-14,3.484375,3.625,3.453125,3.484375,0.0
1984-05-21,3.453125,3.5,3.390625,3.46875,0.0
1984-05-28,3.5,3.765625,3.390625,3.765625,0.0
1984-06-04,3.765625,3.875,3.703125,3.765625,0.0
1984-06-11,3.75,3.75,3.125,3.15625,0.0
1984-06-18,3.125,3.4375,3.125,3.421875,0.0
1984-06-25,3.390625,3.46875,3.265625,3.34375,0.0
1984-07-02,3.34375,3.40625,3.1875,3.234375,0.0
1984-07-09,3.171875,3.234375,3.09375,3.109375,0.0
1984-07-16,3.09375,3.109375,2.8125,2.984375,0.0
1984-07-23,2.984375,3.1875,2.921875,3.171875,0.0
1984-07-30,3.125,3.25,3.0,3.234375,0.0375
1984-08-06,3.421875,3.4375,3.109375,3.1875,0.0
1984-08-13,3.171875,3.1875,3.015625,3.125,0.0
1984-08-20,3.140625,3.25,3.109375,3.234375,0.0
1984-08-27,3.21875,3.375,3.171875,3.296875,0.0
1984-09-03,3.265625,3.375,3.234375,3.3125,0.0
1984-09-10,3.25,3.421875,3.171875,3.390625,0.0
1984-09-17,3.40625,3.484375,3.390625,3.40625,0.0
1984-09-24,3.390625,3.421875,3.296875,3.3125,0.0
1984-10-01,3.328125,3.390625,3.3125,3.34375,0.0
1984-10-08,3.359375,3.375,3.265625,3.34375,0.0
1984-10-15,3.34375,3.65625,3.34375,3.625,0.0
1984-10-22,3.59375,3.609375,3.421875,3.46875,0.0
1984-10-29,3.4375,3.78125,3.421875,3.71875,0.0375
1984-11-05,3.75,3.84375,3.734375,3.796875,0.0
1984-11-12,3.78125,3.8125,3.640625,3.640625,0.0
1984-11-19,3.578125,3.71875,3.578125,3.71875,0.0
1984-11-26,3.71875,3.71875,3.609375,3.625,0.0
1984-12-03,3.625,3.75,3.625,3.625,0.0
1984-12-10,3.65625,3.671875,3.515625,3.671875,0.0
1984-12-17,3.65625,3.78125,3.546875,3.65625,0.0
1984-12-24,3.65625,3.78125,3.65625,3.71875,0.0
1984-12-31,3.71875,3.71875,3.5,3.546875,0.0
1985-01-07,3.5625,3.75,3.5625,3.71875,0.0
1985-01-14,3.734375,3.78125,3.4375,3.515625,0.0
1985-01-21,3.5,3.6875,3.484375,3.609375,0.0
1985-01-28,3.609375,3.890625,3.578125,3.859375,0.0375
1985-02-04,3.84375,3.90625,3.6875,3.703125,0.0
1985-02-11,3.71875,4.09375,3.703125,4.03125,0.0
1985-02-18,4.046875,4.1875,3.984375,4.109375,0.0
1985-02-25,4.09375,4.28125,4.0,4.28125,0.0
1985-03-04,4.234375,4.25,4.0,4.046875,0.0
1985-03-11,4.015625,4.140625,3.9375,4.0,0.0
1985-03-18,3.984375,4.28125,3.96875,4.171875,0.0
1985-03-25,4.203125,4.328125,4.140625,4.296875,0.0
1985-04-01,4.34375,4.359375,4.265625,4.265625,0.0
1985-04-08,4.265625,4.359375,4.203125,4.234375,0.0
1985-04-15,4.234375,4.390625,4.21875,4.375,0.0
1985-04-22,4.375,4.53125,4.328125,4.421875,0.0
1985-04-29,4.34375,4.390625,4.203125,4.3125,0.0425
1985-05-06,4.3125,4.5,4.3125,4.46875,0.0
1985-05-13,4.46875,4.5625,4.34375,4.4375,0.0
1985-05-20,4.5,4.640625,4.484375,4.609375,0.0
1985-05-27,4.578125,4.609375,4.46875,4.609375,0.0
1985-06-03,4.609375,4.78125,4.578125,4.6875,0.0
1985-06-10,4.703125,4.796875,4.53125,4.625,0.0
1985-06-17,4.59375,4.625,4.421875,4.625,0.0
1985-06-24,4.65625,4.875,4.515625,4.703125,0.0
1985-07-01,4.71875,4.890625,4.6875,4.890625,0.0
1985-07-08,4.890625,5.0,4.828125,4.96875,0.0
1985-07-15,4.9375,5.09375,4.90625,4.96875,0.0
1985-07-22,4.90625,5.0,4.625,4.6875,0.0
1985-07-29,4.5625,4.625,4.5,4.578125,0.0425
1985-08-05,4.578125,4.796875,4.53125,4.796875,0.0
1985-08-12,4.8125,4.921875,4.75,4.859375,0.0
1985-08-19,4.890625,5.03125,4.859375,4.890625,0.0
1985-08-26,4.859375,5.015625,4.84375,4.9375,0.0
1985-09-02,4.90625,5.0625,4.828125,5.03125,0.0
1985-09-09,5.046875,5.21875,5.0,5.09375,0.0
1985-09-16,5.109375,5.125,4.953125,4.953125,0.0
1985-09-23,5.046875,5.125,5.0,5.015625,0.0
1985-09-30,5.0625,5.4375,4.984375,5.296875,0.0
1985-10-07,5.3125,5.3125,5.140625,5.15625,0.0
1985-10-14,5.171875,5.59375,5.125,5.53125,0.0
1985-10-21,5.5625,5.734375,5.375,5.375,0.0
1985-10-28,5.3125,5.6875,5.25,5.65625,0.0425
1985-11-04,5.625,5.65625,5.515625,5.625,0.0
1985-11-11,5.625,5.78125,5.625,5.765625,0.0
1985-11-18,5.78125,5.78125,5.65625,5.75,0.0
1985-11-25,5.765625,6.0625,5.734375,6.03125,0.0
1985-12-02,6.015625,6.3125,5.9375,6.109375,0.0
1985-12-09,6.078125,6.21875,5.953125,6.0625,0.0
1985-12-16,6.0625,6.234375,5.796875,5.96875,0.0
1985-12-23,5.9375,5.953125,5.8125,5.828125,0.0
1985-12-30,5.859375,5.953125,5.8125,5.90625,0.0
1986-01-06,5.9375,5.984375,5.703125,5.703125,0.0
1986-01-13,5.703125,5.734375,5.578125,5.65625,0.0
1986-01-20,5.640625,5.75,5.609375,5.640625,0.0
1986-01-27,5.625,5.71875,5.5,5.53125,0.0425
1986-02-03,5.53125,5.734375,5.53125,5.6875,0.0
1986-02-10,5.71875,6.09375,5.6875,6.046875,0.0
1986-02-17,6.046875,6.234375,5.921875,5.953125,0.0
1986-02-24,5.96875,6.28125,5.96875,6.25,0.0
1986-03-03,6.25,6.359375,6.171875,6.359375,0.0
1986-03-10,6.40625,6.859375,6.328125,6.796875,0.0
1986-03-17,6.734375,7.0,6.6875,6.984375,0.0
1986-03-24,6.953125,7.28125,6.921875,7.140625,0.0
1986-03-31,7.125,7.21875,6.59375,6.671875,0.0
1986-04-07,6.671875,7.109375,6.3125,7.09375,0.0
1986-04-14,7.09375,7.140625,6.625,6.875,0.0
1986-04-21,6.921875,6.921875,6.453125,6.46875,0.0
1986-04-28,6.40625,6.53125,6.15625,6.15625,0.0475
1986-05-05,6.203125,6.53125,6.1875,6.484375,0.0
1986-05-12,6.515625,6.59375,6.28125,6.421875,0.0
1986-05-19,6.390625,6.71875,6.265625,6.6875,0.0
1986-05-26,6.6875,6.875,6.6875,6.84375,0.0
1986-06-02,6.828125,6.859375,6.5625,6.59375,0.0
1986-06-09,6.5625,6.8125,6.28125,6.71875,0.0
1986-06-16,6.703125,6.765625,6.59375,6.65625,0.0
1986-06-23,6.671875,7.015625,6.625,6.96875,0.0
1986-06-30,7.0,7.421875,6.96875,7.203125,0.0
1986-07-07,7.21875,7.234375,6.8125,6.828125,0.0
1986-07-14,6.828125,6.96875,6.375,6.9375,0.0
1986-07-21,7.015625,7.390625,7.0,7.3125,0.0
1986-07-28,7.296875,7.546875,6.84375,6.875,0.0475
1986-08-04,6.859375,6.984375,6.6875,6.6875,0.0
1986-08-11,6.6875,7.109375,6.6875,6.953125,0.0
1986-08-18,7.0,7.484375,6.921875,7.390625,0.0
1986-08-25,7.375,7.421875,7.109375,7.40625,0.0
1986-09-01,7.40625,7.40625,7.0,7.0625,0.0
