Date,Open,High,Low,Close,Dividends
1969-12-29,6.40625,6.75,6.3125,6.75,0.0
1970-01-05,6.8125,7.15625,6.8125,6.90625,0.0
1970-01-12,6.90625,6.90625,6.5,6.53125,0.0
1970-01-19,6.5625,6.84375,6.5625,6.75,0.0
1970-01-26,6.75,6.90625,6.625,6.75,0.0
1970-02-02,6.75,6.8125,6.625,6.71875,0.02825
1970-02-09,6.71875,6.71875,6.59375,6.59375,0.0
1970-02-16,6.59375,6.71875,6.5625,6.71875,0.0
1970-02-23,6.71875,6.875,6.65625,6.875,0.0
1970-03-02,6.875,7.09375,6.84375,6.96875,0.0
1970-03-09,6.96875,7.03125,6.9375,6.96875,0.0
1970-03-16,6.96875,6.96875,6.6875,6.78125,0.0
1970-03-23,6.78125,6.9375,6.65625,6.8125,0.0
1970-03-30,6.8125,7.03125,6.78125,7.03125,0.0
1970-04-06,7.03125,7.09375,6.96875,7.0625,0.0
1970-04-13,7.0625,7.0625,6.84375,6.9375,0.0
1970-04-20,6.9375,6.9375,6.75,6.84375,0.0
1970-04-27,6.84375,6.875,6.5625,6.6875,0.0
1970-05-04,6.5625,6.625,6.4375,6.46875,0.1125
1970-05-11,6.46875,6.53125,6.3125,6.3125,0.0
1970-05-18,6.3125,6.375,5.875,5.9375,0.0
1970-05-25,5.90625,5.90625,5.75,5.78125,0.0
1970-06-01,5.78125,5.78125,5.75,5.78125,0.0
1970-06-08,5.78125,5.96875,5.75,5.84375,0.0
1970-06-15,5.84375,6.03125,5.84375,5.96875,0.0
1970-06-22,5.96875,5.96875,5.75,5.8125,0.0
1970-06-29,5.8125,5.84375,5.75,5.84375,0.0
1970-07-06,5.84375,6.21875,5.75,6.1875,0.0
1970-07-13,6.1875,6.34375,6.1875,6.3125,0.0
1970-07-20,6.3125,6.34375,5.8125,5.84375,0.0
1970-07-27,5.84375,6.03125,5.53125,5.84375,0.0
1970-08-03,5.75,5.75,5.625,5.6875,0.1125
1970-08-10,5.6875,5.875,5.5,5.875,0.0
1970-08-17,5.875,5.9375,5.625,5.71875,0.0
1970-08-24,5.71875,5.875,5.71875,5.84375,0.0
1970-08-31,5.84375,5.875,5.75,5.84375,0.0
1970-09-07,5.8125,5.84375,5.71875,5.75,0.0
1970-09-14,5.75,5.875,5.6875,5.8125,0.0
1970-09-21,5.8125,5.875,5.71875,5.78125,0.0
1970-09-28,5.78125,5.875,5.75,5.875,0.0
1970-10-05,5.875,5.9375,5.8125,5.875,0.0
1970-10-12,5.875,5.9375,5.875,5.9375,0.0
1970-10-19,5.9375,5.9375,5.8125,5.8125,0.0
1970-10-26,5.8125,5.875,5.6875,5.71875,0.0
1970-11-02,5.71875,5.78125,5.625,5.6875,0.1125
1970-11-09,5.6875,5.6875,5.625,5.625,0.0
1970-11-16,5.625,5.625,5.53125,5.53125,0.0
1970-11-23,5.5625,5.65625,5.53125,5.65625,0.0
1970-11-30,5.6875,6.21875,5.6875,6.1875,0.0
1970-12-07,6.25,6.3125,6.0625,6.125,0.0
1970-12-14,6.125,6.15625,6.0,6.09375,0.0
1970-12-21,6.09375,6.25,6.0,6.25,0.0
1970-12-28,6.25,6.6875,6.25,6.6875,0.0
1971-01-04,6.6875,7.0,6.59375,6.9375,0.0
1971-01-11,6.9375,7.03125,6.75,6.875,0.0
1971-01-18,6.875,7.25,6.84375,7.15625,0.0
1971-01-25,7.15625,7.25,7.03125,7.125,0.0
1971-02-01,7.09375,7.09375,6.6875,6.8125,0.1125
1971-02-08,6.71875,6.875,6.59375,6.78125,0.0
1971-02-15,6.78125,6.84375,6.5625,6.5625,0.0
1971-02-22,6.53125,6.53125,6.375,6.4375,0.0
1971-03-01,6.4375,6.59375,6.375,6.59375,0.0
1971-03-08,6.59375,6.75,6.5625,6.65625,0.0
1971-03-15,6.65625,6.75,6.59375,6.6875,0.0
1971-03-22,6.6875,6.75,6.65625,6.65625,0.0
1971-03-29,6.65625,6.8125,6.65625,6.78125,0.0
1971-04-05,6.78125,6.84375,6.75,6.75,0.0
1971-04-12,6.75,6.78125,6.71875,6.75,0.0
1971-04-19,6.75,6.84375,6.75,6.8125,0.0
1971-04-26,6.78125,6.84375,6.71875,6.8125,0.0
1971-05-03,6.75,6.75,6.5,6.5,0.1125
1971-05-10,6.5,6.53125,6.40625,6.4375,0.0
1971-05-17,6.4375,6.46875,6.3125,6.34375,0.0
1971-05-24,6.34375,6.40625,6.25,6.25,0.0
1971-05-31,6.25,6.40625,6.25,6.375,0.0
1971-06-07,6.375,6.375,6.25,6.28125,0.0
1971-06-14,6.28125,6.3125,6.25,6.25,0.0
1971-06-21,6.25,6.34375,6.21875,6.34375,0.0
1971-06-28,6.34375,6.59375,6.28125,6.5,0.0
1971-07-05,6.5,6.59375,6.4375,6.4375,0.0
1971-07-12,6.4375,6.5,6.40625,6.4375,0.0
1971-07-19,6.4375,6.5625,6.40625,6.5,0.0
1971-07-26,6.5,6.53125,6.375,6.5,0.0
1971-08-02,6.4375,6.4375,6.25,6.28125,0.1125
1971-08-09,6.28125,6.375,6.25,6.34375,0.0
1971-08-16,6.375,6.46875,6.28125,6.34375,0.0
1971-08-23,6.34375,6.40625,6.28125,6.28125,0.0
1971-08-30,6.28125,6.375,6.28125,6.3125,0.0
1971-09-06,6.3125,6.375,6.25,6.3125,0.0
1971-09-13,6.3125,6.34375,6.25,6.3125,0.0
1971-09-20,6.3125,6.34375,6.1875,6.21875,0.0
1971-09-27,6.21875,6.21875,6.03125,6.21875,0.0
1971-10-04,6.21875,6.34375,6.15625,6.25,0.0
1971-10-11,6.25,6.375,6.25,6.3125,0.0
1971-10-18,6.3125,6.375,6.25,6.3125,0.0
1971-10-25,6.3125,6.5,6.25,6.40625,0.0
1971-11-01,6.40625,6.40625,6.25,6.3125,0.02825
1971-11-08,6.3125,6.5625,6.25,6.5625,0.0
1971-11-15,6.5625,6.5625,6.375,6.4375,0.0
1971-11-22,6.4375,6.46875,6.28125,6.3125,0.0
