Date,Open,High,Low,Close,Dividends
1997-11-17,19.5,19.875,19.0,19.5625,0.0
1997-11-24,19.375,19.5,19.125,19.25,0.0
1997-12-01,19.25,19.375,18.875,19.375,0.0
1997-12-08,19.25,19.625,19.25,19.375,0.0
1997-12-15,19.5,19.75,19.0,19.4375,0.0
1997-12-22,19.4375,19.875,19.0,19.25,0.18
1997-12-29,19.25,19.875,19.25,19.625,0.0
1998-01-05,19.8125,20.0625,19.375,19.375,0.0
1998-01-12,19.0,19.625,19.0,19.375,0.0
1998-01-19,19.625,20.0,19.5,19.75,0.0
1998-01-26,19.875,20.0,19.5625,19.75,0.0
1998-02-02,19.75,20.0,19.4375,19.625,0.0
1998-02-09,19.625,19.625,19.125,19.375,0.0
1998-02-16,19.5,19.75,19.0,19.25,0.0
1998-02-23,19.375,19.9375,19.375,19.625,0.0
1998-03-02,19.375,19.875,19.0625,19.5625,0.0
1998-03-09,19.75,19.875,19.5,19.8125,0.0
1998-03-16,19.75,20.125,19.3125,19.6875,0.0
1998-03-23,19.875,20.125,19.375,19.5,0.4
1998-03-30,19.3125,20.0625,18.9375,19.75,0.0
1998-04-06,19.5625,19.875,19.5,19.625,0.0
1998-04-13,19.6875,19.75,19.25,19.4375,0.0
1998-04-20,19.4375,19.75,19.1875,19.625,0.0
1998-04-27,19.5,19.75,19.375,19.6875,0.0
1998-05-04,19.8125,19.8125,19.25,19.4375,0.0
1998-05-11,19.5,19.5,19.0625,19.1875,0.0
1998-05-18,19.1875,19.4375,19.0625,19.375,0.0
1998-05-25,19.1875,19.4375,18.8125,19.4375,0.0
1998-06-01,19.4375,19.5,19.0,19.25,0.0
1998-06-08,19.25,19.375,18.875,19.0,0.0
1998-06-15,19.0,19.6875,18.9375,19.4375,0.0
1998-06-22,19.375,19.4375,18.5,18.5625,0.4
1998-06-29,18.5625,18.875,18.125,18.75,0.0
1998-07-06,18.625,19.0,17.25,18.125,0.0
1998-07-13,18.0,18.875,17.9375,18.875,0.0
1998-07-20,18.75,18.875,18.25,18.3125,0.0
1998-07-27,18.3125,18.75,17.625,18.375,0.0
1998-08-03,18.3125,18.5,17.0,17.6875,0.0
1998-08-10,17.5625,17.875,17.25,17.3125,0.0
1998-08-17,17.4375,17.75,16.8125,17.25,0.0
1998-08-24,17.5,18.125,15.875,15.875,0.0
1998-08-31,15.875,15.9375,14.625,15.125,0.0
1998-09-07,15.375,15.875,14.0,14.8125,0.0
1998-09-14,14.9375,16.0,14.5,15.375,0.0
1998-09-21,15.3125,16.875,15.125,16.875,0.0
1998-09-28,16.6875,18.625,16.5,18.25,0.4
1998-10-05,18.0,18.25,15.25,16.25,0.0
1998-10-12,16.3125,18.25,15.75,17.25,0.0
1998-10-19,17.0,17.8125,16.5,17.125,0.0
1998-10-26,16.75,17.0,16.625,16.625,0.0
1998-11-02,16.6875,16.875,16.1875,16.8125,0.0
1998-11-09,17.0625,18.5,17.0625,18.375,0.0
1998-11-16,18.375,18.75,18.25,18.75,0.0
1998-11-23,18.875,19.1875,18.375,18.75,0.0
