Date,Open,High,Low,Close,Dividends
1994-06-06,19.125,19.625,19.0,19.125,0.0
1994-06-13,19.125,19.5,19.0,19.0,0.0
1994-06-20,19.0,19.125,18.125,18.375,0.0
1994-06-27,18.375,18.375,17.25,17.75,0.0
1994-07-04,17.75,17.875,17.5,17.625,0.0
1994-07-11,17.625,18.0,17.5,18.0,0.0
1994-07-18,18.0,18.5,17.875,18.375,0.0
1994-07-25,18.375,18.625,17.625,17.75,0.0
1994-08-01,17.75,18.375,17.625,18.0,0.0
1994-08-08,18.0,18.25,17.75,18.0,0.0
1994-08-15,18.0,18.125,17.875,18.0,0.0
1994-08-22,18.0,18.125,17.75,18.0,0.0
1994-08-29,18.0,19.0,17.875,19.0,0.0
1994-09-05,18.875,18.875,18.25,18.625,0.0
1994-09-12,18.625,18.75,18.25,18.25,0.0
1994-09-19,18.25,18.75,17.625,17.875,0.0
1994-09-26,17.875,18.125,17.125,18.0,0.0
1994-10-03,18.0,18.0,16.75,17.0,0.0
1994-10-10,17.0,17.375,16.5,16.625,0.0
1994-10-17,16.75,17.25,16.5,17.125,0.0
1994-10-24,17.125,17.25,16.5,17.25,0.0
1994-10-31,17.25,17.625,17.0,17.375,0.0
1994-11-07,17.25,17.375,16.5,16.625,0.0
1994-11-14,16.75,16.875,15.75,16.625,0.0
1994-11-21,16.5,17.25,16.375,16.875,0.0
1994-11-28,17.0,17.25,16.375,16.5,0.0
1994-12-05,16.375,16.5,15.375,15.75,0.0
1994-12-12,15.625,17.0,15.5,16.25,0.0
1994-12-19,16.375,16.5,15.125,15.375,0.0
1994-12-26,15.25,15.375,14.625,15.125,0.0
1995-01-02,15.25,16.625,15.25,16.625,0.0
1995-01-09,16.75,16.75,16.25,16.5,0.0
1995-01-16,16.375,16.75,15.75,16.25,0.0
1995-01-23,16.125,16.625,15.75,16.5,0.0
1995-01-30,16.5,16.625,16.0,16.0,0.0
1995-02-06,16.0,16.25,15.625,16.0,0.0
1995-02-13,16.0,16.125,15.5,15.875,0.0
1995-02-20,15.875,15.875,14.625,15.875,0.0
1995-02-27,15.875,16.125,15.375,15.375,0.0
1995-03-06,15.5,15.75,15.375,15.375,0.0
1995-03-13,15.5,16.0,15.25,15.75,0.0
1995-03-20,15.75,16.375,15.75,16.375,0.0
1995-03-27,15.75,16.0,15.625,15.875,0.0
1995-04-03,15.75,16.5,15.625,16.375,0.0
1995-04-10,16.25,16.625,16.25,16.5,0.0
1995-04-17,16.5,16.625,16.125,16.625,0.0
1995-04-24,16.375,16.375,15.75,16.25,0.0
1995-05-01,16.375,17.125,16.0,17.0,0.0
