Date,Open,High,Low,Close,Dividends
1980-05-19,0.23632800579071045,0.24023400247097015,0.23242199420928955,0.2382809966802597,0.0
1980-08-11,0.25195300579071045,0.2578130066394806,0.25,0.2539060115814209,0.0
1981-02-02,0.2695310115814209,0.27148398756980896,0.25976601243019104,0.2695310115814209,0.0
1981-05-11,0.25195300579071045,0.2734380066394806,0.25195300579071045,0.26757800579071045,0.0
1981-07-20,0.2929689884185791,0.29882800579071045,0.2890630066394806,0.2929689884185791,0.0
1981-08-03,0.29101601243019104,0.29492199420928955,0.2890630066394806,0.29101601243019104,0.0
1981-08-17,0.26367199420928955,0.28125,0.26367199420928955,0.26367199420928955,0.0
1981-08-24,0.2617189884185791,0.26757800579071045,0.25585898756980896,0.25585898756980896,0.0
1981-09-14,0.25195300579071045,0.25195300579071045,0.24414099752902985,0.24414099752902985,0.0
1981-10-12,0.2460940033197403,0.2460940033197403,0.2421880066394806,0.2460940033197403,0.0
1982-01-04,0.2851560115814209,0.2851560115814209,0.27929699420928955,0.27929699420928955,0.0
1982-09-20,0.3046880066394806,0.34375,0.3046880066394806,0.3203130066394806,0.0
1983-07-18,0.46679699420928955,0.4804689884185791,0.46679699420928955,0.4726560115814209,0.0
1983-10-03,0.390625,0.3984380066394806,0.390625,0.3945310115814209,0.0
1983-10-24,0.4414060115814209,0.44726601243019104,0.4335939884185791,0.4414060115814209,0.0
1983-12-19,0.5117189884185791,0.53125,0.5078129768371582,0.5097659826278687,0.0
1984-03-26,0.4414060115814209,0.44726601243019104,0.4375,0.4375,0.0
1984-04-16,0.43164101243019104,0.4375,0.43164101243019104,0.43164101243019104,0.0
1984-04-23,0.43164101243019104,0.43164101243019104,0.40429699420928955,0.4140630066394806,0.0
1984-05-07,0.41210898756980896,0.4179689884185791,0.4101560115814209,0.4140630066394806,0.0
1984-05-21,0.42382800579071045,0.4257810115814209,0.4179689884185791,0.4179689884185791,0.0
1984-06-25,0.4101560115814209,0.4179689884185791,0.4101560115814209,0.4179689884185791,0.0
1984-08-13,0.45507800579071045,0.4648439884185791,0.45507800579071045,0.46289101243019104,0.0
1984-10-22,0.47070300579071045,0.4882810115814209,0.47070300579071045,0.47070300579071045,0.0
1984-11-05,0.46875,0.47070300579071045,0.4492189884185791,0.4492189884185791,0.0
1984-11-19,0.45507800579071045,0.45507800579071045,0.4492189884185791,0.4492189884185791,0.0
1984-11-26,0.4570310115814209,0.4570310115814209,0.4492189884185791,0.453125,0.0
1984-12-03,0.4609380066394806,0.4648439884185791,0.453125,0.4648439884185791,0.0
1985-04-22,0.5234379768371582,0.5253909826278687,0.5195310115814209,0.5234379768371582,0.0
1985-04-29,0.5214840173721313,0.5234379768371582,0.5097659826278687,0.5097659826278687,0.0
1990-01-01,2.109375,2.242187976837158,2.109375,2.140625,0.0
1990-01-08,2.140625,2.148437976837158,2.03125,2.03125,0.008125
1990-01-15,2.03125,2.039062976837158,1.921875,2.039062976837158,0.0
1990-01-22,2.039062976837158,2.039062976837158,1.953125,1.984375,0.0
1990-01-29,1.984375,1.984375,1.8828129768371582,1.8984379768371582,0.0
1990-02-05,1.8984379768371582,1.90625,1.8125,1.859375,0.0
1990-02-12,1.859375,1.8671879768371582,1.8359379768371582,1.8515629768371582,0.0
1990-02-19,1.8515629768371582,1.859375,1.78125,1.8125,0.0
1990-02-26,1.8125,1.921875,1.796875,1.921875,0.0
1990-03-05,1.921875,2.1875,1.921875,2.15625,0.0
1990-03-12,2.15625,2.171875,2.0625,2.109375,0.0
1990-03-19,2.09375,2.109375,2.015625,2.046875,0.0
1990-03-26,2.046875,2.046875,1.921875,1.953125,0.0
1990-04-02,1.953125,1.953125,1.875,1.875,0.0
1990-04-09,1.875,1.984375,1.828125,1.953125,0.0
1990-04-16,1.96875,2.03125,1.9375,1.953125,0.008125
1990-04-23,1.953125,1.953125,1.90625,1.9375,0.0
1990-04-30,1.9375,1.9375,1.859375,1.875,0.0
1990-05-07,1.875,1.953125,1.84375,1.953125,0.0
1990-05-14,1.953125,2.109375,1.9375,2.109375,0.0
1990-05-21,2.109375,2.171875,2.046875,2.125,0.0
1990-05-28,2.125,2.203125,2.109375,2.1875,0.0
1990-06-04,2.1875,2.25,2.109375,2.125,0.0
1990-06-11,2.125,2.171875,2.078125,2.109375,0.0
1990-06-18,2.109375,2.265625,2.0625,2.234375,0.0
1990-06-25,2.234375,2.359375,2.203125,2.296875,0.0
1990-07-02,2.296875,2.3125,2.203125,2.21875,0.0
1990-07-09,2.21875,2.234375,2.09375,2.125,0.0
1990-07-16,2.125,2.21875,2.125,2.1875,0.008125
1990-07-23,2.1875,2.203125,2.09375,2.125,0.0
1990-07-30,2.125,2.15625,2.0,2.03125,0.0
1990-08-06,2.0,2.046875,1.84375,1.984375,0.0
1990-08-13,1.96875,2.03125,1.84375,1.890625,0.0
1990-08-20,1.921875,2.0,1.765625,1.796875,0.0
1990-08-27,1.859375,1.921875,1.84375,1.859375,0.0
1990-09-03,1.859375,1.921875,1.859375,1.890625,0.0
1990-09-10,1.890625,1.921875,1.84375,1.859375,0.0
1990-09-17,1.859375,1.921875,1.84375,1.875,0.0
1990-09-24,1.875,1.890625,1.796875,1.84375,0.0
1990-10-01,1.84375,1.90625,1.84375,1.84375,0.0
1990-10-08,1.84375,1.859375,1.75,1.765625,0.0
1990-10-15,1.765625,1.828125,1.75,1.796875,0.008125
1990-10-22,1.78125,1.84375,1.78125,1.8125,0.0
1990-10-29,1.828125,1.875,1.828125,1.875,0.0
1990-11-05,1.890625,1.90625,1.84375,1.875,0.0
1990-11-12,1.890625,2.03125,1.875,1.984375,0.0
1990-11-19,2.0,2.0,1.9375,2.0,0.0
1990-11-26,2.0,2.1875,2.0,2.171875,0.0
1990-12-03,2.1875,2.265625,2.078125,2.15625,0.0
1990-12-10,2.15625,2.1875,2.09375,2.1875,0.0
1990-12-17,2.171875,2.4375,2.171875,2.40625,0.0
1990-12-24,2.40625,2.46875,2.3125,2.34375,0.0
1990-12-31,2.375,2.40625,2.296875,2.328125,0.0
1991-01-07,2.296875,2.328125,2.0625,2.109375,0.0
1991-01-14,2.078125,2.25,2.0,2.234375,0.009375
1991-01-21,2.203125,2.296875,2.171875,2.28125,0.0
1991-01-28,2.296875,2.296875,2.125,2.15625,0.0
1991-02-04,2.125,2.25,2.125,2.25,0.0
1991-02-11,2.28125,2.484375,2.234375,2.4375,0.0
1991-02-18,2.4375,2.453125,2.375,2.375,0.0
1991-02-25,2.375,2.4375,2.34375,2.421875,0.0
1991-03-04,2.4375,2.46875,2.34375,2.359375,0.0
1991-03-11,2.375,2.390625,2.34375,2.359375,0.0
1991-03-18,2.359375,2.859375,2.34375,2.8125,0.0
1991-03-25,2.875,2.890625,2.703125,2.75,0.0
1991-04-01,2.75,2.890625,2.734375,2.875,0.0
1991-04-08,2.84375,2.84375,2.734375,2.734375,0.0
1991-04-15,2.734375,2.75,2.71875,2.75,0.009375
1991-04-22,2.765625,2.78125,2.71875,2.75,0.0
1991-04-29,2.75,2.859375,2.578125,2.59375,0.0
1991-05-06,2.578125,2.578125,2.390625,2.421875,0.0
1991-05-13,2.40625,2.453125,2.28125,2.453125,0.0
1991-05-20,2.4375,2.484375,2.34375,2.390625,0.0
1991-05-27,2.390625,2.46875,2.34375,2.46875,0.0
1991-06-03,2.4375,2.515625,2.34375,2.34375,0.0
1991-06-10,2.34375,2.4375,2.34375,2.390625,0.0
1991-06-17,2.40625,2.46875,2.359375,2.4375,0.0
1991-06-24,2.4375,2.53125,2.421875,2.421875,0.0
1991-07-01,2.421875,2.5,2.421875,2.4375,0.0
1991-07-08,2.453125,2.578125,2.4375,2.53125,0.0
1991-07-15,2.515625,2.59375,2.5,2.53125,0.009375
1991-07-22,2.546875,2.578125,2.5,2.53125,0.0
1991-07-29,2.515625,2.5625,2.34375,2.453125,0.0
1991-08-05,2.46875,2.53125,2.4375,2.46875,0.0
1991-08-12,2.4375,2.5625,2.421875,2.515625,0.0
1991-08-19,2.4375,2.59375,2.390625,2.578125,0.0
1991-08-26,2.546875,2.5625,2.484375,2.53125,0.0
1991-09-02,2.546875,2.640625,2.546875,2.625,0.0
1991-09-09,2.625,2.625,2.4375,2.484375,0.0
1991-09-16,2.5,2.609375,2.390625,2.5625,0.0
1991-09-23,2.5625,2.6875,2.515625,2.625,0.0
1991-09-30,2.625,2.703125,2.40625,2.4375,0.0
1991-10-07,2.40625,2.546875,2.34375,2.5,0.009375
1991-10-14,2.515625,2.578125,2.5,2.578125,0.0
1991-10-21,2.546875,2.65625,2.484375,2.609375,0.0
1991-10-28,2.59375,2.59375,2.40625,2.421875,0.0
1991-11-04,2.4375,2.4375,2.390625,2.4375,0.0
1991-11-11,2.46875,2.734375,2.4375,2.59375,0.0
1991-11-18,2.5625,2.703125,2.484375,2.59375,0.0
1991-11-25,2.625,2.6875,2.53125,2.546875,0.0
1991-12-02,2.546875,2.5625,2.46875,2.5,0.0
1991-12-09,2.5,2.546875,2.46875,2.515625,0.0
1991-12-16,2.53125,2.609375,2.484375,2.546875,0.0
1991-12-23,2.5625,2.625,2.46875,2.578125,0.0
1991-12-30,2.59375,2.671875,2.53125,2.578125,0.0
1992-01-06,2.609375,2.65625,2.46875,2.5625,0.0
1992-01-13,2.53125,2.71875,2.5,2.71875,0.01125
1992-01-20,2.734375,2.78125,2.671875,2.671875,0.0
1992-01-27,2.703125,2.75,2.65625,2.671875,0.0
1992-02-03,2.625,2.625,2.5,2.515625,0.0
1992-02-10,2.515625,2.515625,2.34375,2.359375,0.0
1992-02-17,2.390625,2.46875,2.359375,2.359375,0.0
1992-02-24,2.359375,2.4375,2.3125,2.359375,0.0
1992-03-02,2.375,2.375,2.28125,2.328125,0.0
1992-03-09,2.28125,2.328125,2.25,2.25,0.0
1992-03-16,2.1875,2.28125,2.1875,2.28125,0.0
1992-03-23,2.28125,2.328125,2.21875,2.21875,0.0
1992-03-30,2.234375,2.25,2.1875,2.25,0.0
1992-04-06,2.25,2.265625,2.09375,2.140625,0.01125
1992-04-13,2.140625,2.21875,2.09375,2.1875,0.0
1992-04-20,2.203125,2.28125,2.15625,2.25,0.0
1992-04-27,2.265625,2.296875,2.203125,2.28125,0.0
1992-05-04,2.28125,2.328125,2.171875,2.234375,0.0
1992-05-11,2.234375,2.296875,2.171875,2.25,0.0
1992-05-18,2.296875,2.359375,2.265625,2.28125,0.0
1992-05-25,2.296875,2.34375,2.25,2.3125,0.0
1992-06-01,2.328125,2.375,2.25,2.296875,0.0
1992-06-08,2.328125,2.375,2.3125,2.34375,0.0
1992-06-15,2.328125,2.359375,2.265625,2.3125,0.0
1992-06-22,2.34375,2.453125,2.3125,2.453125,0.0
1992-06-29,2.453125,2.5625,2.4375,2.546875,0.0
1992-07-06,2.546875,2.609375,2.46875,2.578125,0.0
1992-07-13,2.5625,2.625,2.515625,2.59375,0.01125
1992-07-20,2.5625,2.65625,2.515625,2.640625,0.0
1992-07-27,2.640625,2.6875,2.546875,2.5625,0.0
1992-08-03,2.578125,2.59375,2.5625,2.59375,0.0
1992-08-10,2.578125,2.578125,2.515625,2.5625,0.0
1992-08-17,2.5625,2.609375,2.5,2.5,0.0
1992-08-24,2.5,2.546875,2.4375,2.53125,0.0
