Date,Open,High,Low,Close,Dividends
1992-06-15,8.5,8.75,7.5,7.875,0.0
1992-06-22,7.875,7.875,7.5,7.75,0.0
1992-06-29,7.6875,8.0625,7.625,8.0625,0.0
1992-07-06,7.9375,7.9375,6.8125,7.125,0.0
1992-07-13,7.125,7.375,7.0625,7.3125,0.0
1992-07-20,6.9375,7.5625,6.875,7.4375,0.0
1992-07-27,7.4375,7.5625,7.25,7.5625,0.0
1992-08-03,7.5,7.8125,7.4375,7.5,0.0
1992-08-10,7.3125,7.9375,7.125,7.875,0.0
1992-08-17,7.75,8.3125,7.75,8.25,0.0
1992-08-24,7.9375,8.25,7.9375,8.0625,0.0
1992-08-31,8.125,8.125,7.6875,7.6875,0.031
1992-09-07,7.75,8.0625,7.6875,7.9375,0.0
1992-09-14,8.0625,8.25,7.875,8.1875,0.0
1992-09-21,8.125,8.1875,7.8125,8.125,0.0
1992-09-28,8.0625,8.1875,7.75,7.875,0.0
1992-10-05,7.8125,8.0625,7.4375,7.625,0.0
1992-10-12,7.6875,7.8125,7.5,7.625,0.0
1992-10-19,7.625,8.0625,7.625,7.75,0.0
1992-10-26,7.75,8.0,7.75,7.875,0.0
1992-11-02,7.9375,8.25,7.875,8.125,0.0
1992-11-09,8.0625,8.5625,8.0625,8.375,0.0
1992-11-16,8.375,8.375,8.0,8.25,0.0
1992-11-23,8.1875,8.375,8.0,8.375,0.0
1992-11-30,8.375,8.4375,8.125,8.375,0.031
1992-12-07,8.3125,8.5,8.25,8.3125,0.0
1992-12-14,8.3125,8.4375,7.8125,8.3125,0.0
1992-12-21,8.375,8.4375,8.1875,8.25,0.0
1992-12-28,8.125,8.375,7.9375,8.375,0.0
1993-01-04,8.3125,8.75,8.125,8.4375,0.0
1993-01-11,8.375,8.625,8.3125,8.375,0.0
1993-01-18,8.375,8.6875,8.375,8.375,0.0
1993-01-25,8.4375,8.75,8.1875,8.3125,0.0
1993-02-01,8.375,8.8125,8.3125,8.5625,0.0
1993-02-08,8.6875,9.0,8.625,8.875,0.0
1993-02-15,8.875,8.9375,8.25,8.4375,0.0
1993-02-22,8.5625,8.5625,8.3125,8.5625,0.0
1993-03-01,8.4375,8.625,8.3125,8.5,0.031
1993-03-08,8.5625,8.9375,8.4375,8.5,0.0
1993-03-15,8.625,8.8125,8.5,8.6875,0.0
1993-03-22,8.625,9.0,8.5,8.9375,0.0
1993-03-29,8.9375,9.125,8.375,8.375,0.0
1993-04-05,8.375,8.5625,8.3125,8.375,0.0
1993-04-12,8.5,9.0625,8.4375,8.875,0.0
1993-04-19,8.9375,9.3125,8.8125,8.9375,0.0
1993-04-26,8.6875,8.75,7.125,7.8125,0.0
1993-05-03,7.875,7.875,7.5,7.5,0.0
1993-05-10,7.4375,7.5625,7.1875,7.1875,0.0
1993-05-17,7.125,7.875,7.0625,7.8125,0.0
1993-05-24,7.75,8.0,7.5625,7.8125,0.0
1993-05-31,7.6875,7.9375,7.3125,7.4375,0.031
1993-06-07,7.4375,7.5625,7.1875,7.3125,0.0
1993-06-14,7.3125,7.75,7.3125,7.625,0.0
1993-06-21,7.6875,8.0,7.5,7.5625,0.0
1993-06-28,7.5,8.0,7.5,7.875,0.0
1993-07-05,7.9375,8.125,7.6875,7.8125,0.0
1993-07-12,7.75,8.125,7.6875,8.0,0.0
1993-07-19,8.0,8.0,7.6875,7.875,0.0
1993-07-26,7.8125,8.125,7.6875,7.8125,0.0
1993-08-02,7.75,7.9375,7.6875,7.875,0.0
1993-08-09,7.9375,8.0625,7.75,7.875,0.0
1993-08-16,7.75,7.875,7.625,7.625,0.0
1993-08-23,7.625,8.0,7.625,7.75,0.0
1993-08-30,7.75,7.9375,7.4375,7.9375,0.031
1993-09-06,7.9375,8.0,7.5,7.6875,0.0
1993-09-13,7.75,7.875,7.625,7.875,0.0
1993-09-20,7.875,7.9375,7.625,7.6875,0.0
1993-09-27,7.6875,7.8125,7.5625,7.8125,0.0
1993-10-04,7.8125,7.9375,7.75,7.8125,0.0
1993-10-11,7.9375,8.0,7.5625,7.6875,0.0
1993-10-18,7.6875,8.125,7.125,7.5625,0.0
1993-10-25,7.5625,8.1875,7.5625,8.0625,0.0
1993-11-01,8.125,8.5625,7.9375,8.1875,0.0
1993-11-08,8.25,8.5625,8.125,8.5,0.0
1993-11-15,8.5625,8.5625,8.125,8.25,0.0
1993-11-22,8.25,8.25,7.8125,8.0625,0.0
1993-11-29,8.125,8.375,7.875,8.375,0.0
1993-12-06,8.3125,8.5,7.9375,8.1875,0.031
1993-12-13,8.125,8.4375,8.0,8.375,0.0
1993-12-20,8.25,8.3125,7.9375,8.0625,0.0
1993-12-27,8.0625,8.4375,8.0625,8.3125,0.0
1994-01-03,8.25,8.5625,8.125,8.4375,0.0
1994-01-10,8.4375,8.8125,8.375,8.75,0.0
1994-01-17,8.75,8.9375,8.25,8.9375,0.0
1994-01-24,8.9375,9.8125,8.8125,9.5,0.0
1994-01-31,9.5625,9.75,9.25,9.5,0.0
1994-02-07,9.25,9.6875,8.875,9.0,0.0
1994-02-14,9.0,9.5625,8.9375,9.1875,0.0
1994-02-21,9.3125,9.3125,8.9375,9.1875,0.0
1994-02-28,9.1875,9.5,9.0,9.4375,0.035
1994-03-07,9.4375,9.75,9.25,9.5625,0.0
1994-03-14,9.5,9.625,9.1875,9.4375,0.0
1994-03-21,9.25,9.625,9.125,9.5,0.0
1994-03-28,9.5,9.5625,8.25,8.6875,0.0
1994-04-04,8.3125,9.375,8.1875,9.125,0.0
1994-04-11,9.125,9.3125,8.9375,9.0625,0.0
1994-04-18,9.1875,9.1875,8.5,8.75,0.0
1994-04-25,8.6875,9.6875,8.625,9.5625,0.0
1994-05-02,9.5625,9.9375,9.3125,9.5,0.0
1994-05-09,9.3125,9.625,9.1875,9.375,0.0
1994-05-16,9.4375,10.125,9.375,10.0625,0.0
1994-05-23,10.0,10.375,9.9375,10.0,0.0
1994-05-30,9.9375,10.375,9.9375,10.25,0.035
1994-06-06,10.3125,10.375,10.0,10.0625,0.0
1994-06-13,10.0625,10.5625,10.0625,10.375,0.0
1994-06-20,10.125,10.125,9.3125,9.375,0.0
1994-06-27,9.375,9.9375,9.3125,9.875,0.0
1994-07-04,9.9375,10.125,9.75,10.125,0.0
1994-07-11,10.125,10.125,9.625,10.0,0.0
1994-07-18,10.0625,10.9375,9.9375,10.5625,0.0
1994-07-25,10.5,11.4375,10.4375,11.25,0.0
1994-08-01,11.25,11.8125,10.6875,10.75,0.0
1994-08-08,10.6875,11.25,10.625,10.9375,0.0
1994-08-15,10.8125,10.875,10.5625,10.6875,0.0
1994-08-22,10.75,11.5,10.75,11.25,0.0
1994-08-29,11.25,11.625,11.1875,11.1875,0.035
1994-09-05,11.125,11.125,10.75,10.8125,0.0
1994-09-12,10.6875,11.6875,10.5625,11.4375,0.0
