Date,Open,High,Low,Close,Dividends
1985-01-01,9.875,10.59375,9.703125,10.546875,0.0
1985-02-01,10.5,10.75,10.203125,10.25,0.109375
1985-03-01,10.25,10.59375,10.09375,10.28125,0.0
1985-04-01,10.34375,10.359375,9.5625,9.625,0.0
1985-05-01,9.625,9.828125,9.203125,9.375,0.109375
1985-06-01,9.40625,9.84375,9.34375,9.75,0.0
1985-07-01,9.75,10.203125,9.6875,10.0,0.0
1985-08-01,10.03125,10.09375,9.46875,9.5625,0.109375
1985-09-01,9.5625,9.65625,9.28125,9.5,0.0
1985-10-01,9.5,9.890625,9.421875,9.71875,0.0
1985-11-01,9.703125,10.59375,9.703125,10.546875,0.109375
1985-12-01,10.53125,11.453125,10.46875,11.21875,0.0
1986-01-01,11.21875,11.46875,10.75,11.359375,0.0
1986-02-01,11.359375,12.4375,11.3125,12.34375,0.1125
1986-03-01,12.3125,13.5,11.90625,13.15625,0.0
1986-04-01,13.25,13.4375,12.125,13.09375,0.0
1986-05-01,13.0625,13.46875,12.25,13.328125,0.1125
1986-06-01,13.359375,14.34375,13.03125,14.21875,0.0
1986-07-01,14.28125,14.375,13.21875,13.875,0.0
1986-08-01,13.875,14.203125,13.453125,14.046875,0.1125
1986-09-01,14.03125,14.5,12.390625,12.578125,0.0
1986-10-01,12.625,13.96875,12.40625,13.65625,0.0
1986-11-01,13.703125,14.234375,13.140625,14.0,0.1125
1986-12-01,13.90625,14.859375,13.796875,14.578125,0.0
1987-01-01,14.671875,17.46875,14.671875,16.171875,0.0
1987-02-01,16.109375,17.375,15.625,15.9375,0.11625
1987-03-01,15.96875,16.8125,15.3125,16.171875,0.0
1987-04-01,15.9375,17.125,15.34375,15.96875,0.0
1987-05-01,15.9375,16.640625,15.328125,15.984375,0.11625
1987-06-01,16.109375,18.25,15.8125,17.71875,0.0
1987-07-01,17.71875,18.53125,17.03125,18.4375,0.0
1987-08-01,18.1875,20.875,18.0,19.96875,0.11625
1987-09-01,20.0,20.8125,18.40625,20.4375,0.0
1987-10-01,20.40625,20.875,11.25,14.75,0.0
1987-11-01,14.8125,16.15625,13.96875,14.5625,0.11625
1987-12-01,15.0,16.6875,13.625,16.09375,0.0
1988-01-01,16.1875,16.875,13.875,15.125,0.0
1988-02-01,15.15625,15.53125,13.8125,14.75,0.1325
1988-03-01,14.8125,16.21875,14.21875,14.375,0.0
1988-04-01,14.21875,15.71875,14.15625,14.78125,0.0
1988-05-01,14.78125,15.59375,14.21875,15.4375,0.1325
1988-06-01,15.4375,16.71875,15.40625,16.5,0.0
1988-07-01,16.625,16.625,15.375,15.96875,0.0
1988-08-01,15.96875,16.21875,14.6875,15.09375,0.1325
1988-09-01,15.0,16.375,14.71875,16.09375,0.0
1988-10-01,16.09375,16.15625,15.1875,15.1875,0.0
1988-11-01,15.1875,15.3125,14.625,15.09375,0.1325
1988-12-01,15.0625,15.8125,14.8125,15.5,0.0
1989-01-01,15.34375,17.375,15.03125,17.125,0.0
1989-02-01,17.125,17.34375,16.125,16.28125,0.1625
1989-03-01,16.46875,17.4375,16.1875,16.75,0.0
1989-04-01,16.6875,18.125,16.5625,17.875,0.0
1989-05-01,17.78125,18.84375,17.75,18.1875,0.1625
1989-06-01,18.1875,18.625,17.6875,17.8125,0.0
1989-07-01,17.8125,19.0,17.5625,19.0,0.0
1989-08-01,19.0625,20.09375,18.71875,19.75,0.1625
1989-09-01,19.59375,19.8125,18.40625,18.78125,0.0
1989-10-01,18.78125,18.9375,16.9375,17.90625,0.0
1989-11-01,17.875,19.3125,17.8125,19.25,0.1625
1989-12-01,19.28125,20.46875,19.1875,19.90625,0.0
1990-01-01,19.84375,21.0,18.78125,19.53125,0.0
1990-02-01,19.53125,20.53125,19.21875,20.03125,0.1825
1990-03-01,20.0625,21.3125,19.96875,20.34375,0.0
1990-04-01,20.28125,21.09375,19.5625,19.84375,0.0
1990-05-01,19.9375,21.09375,19.625,20.65625,0.1825
1990-06-01,20.6875,21.90625,20.625,21.65625,0.0
1990-07-01,21.75,22.84375,21.5625,22.59375,0.0
1990-08-01,22.625,22.8125,19.3125,19.6875,0.1825
1990-09-01,19.5625,20.0625,18.9375,19.28125,0.0
1990-10-01,19.46875,20.09375,18.40625,19.75,0.0
1990-11-01,19.75,20.4375,19.53125,20.3125,0.1825
1990-12-01,20.53125,21.84375,20.375,21.4375,0.0
1991-01-01,21.46875,21.59375,19.5625,21.21875,0.0
1991-02-01,21.1875,23.4375,20.75,22.125,0.195
1991-03-01,22.0,22.96875,21.71875,22.125,0.0
1991-04-01,22.125,22.65625,21.53125,22.28125,0.0
1991-05-01,22.28125,23.8125,21.65625,23.8125,0.195
1991-06-01,23.8125,24.375,22.96875,23.40625,0.0
1991-07-01,23.53125,23.53125,21.59375,21.9375,0.0
1991-08-01,21.9375,22.25,20.875,21.71875,0.195
1991-09-01,21.71875,22.59375,21.3125,22.53125,0.0
1991-10-01,22.625,23.34375,22.0625,22.75,0.0
1991-11-01,22.8125,23.1875,21.375,21.6875,0.195
1991-12-01,21.59375,23.8125,21.34375,23.8125,0.0
1992-01-01,23.6875,24.6875,22.71875,22.75,0.0
1992-02-01,22.65625,23.4375,22.46875,22.75,0.2
1992-03-01,22.875,22.96875,21.84375,22.1875,0.0
1992-04-01,22.1875,24.125,21.375,23.4375,0.0
1992-05-01,23.3125,24.25,23.0625,23.90625,0.2
1992-06-01,23.84375,24.34375,23.4375,24.25,0.0
1992-07-01,24.25,25.15625,23.9375,25.0,0.0
1992-08-01,25.0,25.3125,24.40625,24.625,0.2
1992-09-01,24.5625,25.9375,24.5625,25.625,0.0
1992-10-01,25.625,26.28125,24.25,25.71875,0.0
1992-11-01,25.71875,26.75,24.875,25.5,0.2
1992-12-01,25.4375,26.40625,24.75,25.15625,0.0
1993-01-01,25.1875,25.25,24.3125,24.5,0.0
1993-02-01,24.5,27.4375,24.46875,26.375,0.2075
1993-03-01,26.375,27.9375,25.96875,27.375,0.0
1993-04-01,27.40625,29.0,27.1875,27.8125,0.0
1993-05-01,27.875,28.9375,27.875,28.21875,0.2075
1993-06-01,28.21875,29.25,26.21875,27.0,0.0
1993-07-01,27.0,27.8125,26.1875,26.25,0.0
1993-08-01,26.5625,27.5,26.34375,27.40625,0.2075
1993-09-01,27.34375,27.34375,25.5625,25.71875,0.0
1993-10-01,25.75,27.0,25.375,25.9375,0.0
1993-11-01,25.875,27.625,25.8125,27.25,0.2075
1993-12-01,27.25,28.375,26.8125,27.1875,0.0
1994-01-01,27.125,28.1875,26.25,26.8125,0.0
1994-02-01,26.875,27.53125,25.96875,26.34375,0.22
1994-03-01,26.28125,26.5625,24.5625,24.75,0.0
1994-04-01,24.5,26.0,23.1875,24.5,0.0
1994-05-01,24.4375,25.9375,24.3125,25.5,0.22
1994-06-01,25.375,26.1875,24.75,24.8125,0.0
1994-07-01,25.125,26.6875,24.625,26.5625,0.0
1994-08-01,26.5625,28.40625,26.375,27.5625,0.22
1994-09-01,27.4375,28.5625,27.0,27.625,0.0
1994-10-01,27.5625,28.3125,26.4375,27.6875,0.0
1994-11-01,27.5,27.5625,25.1875,25.625,0.22
1994-12-01,25.625,26.875,25.3125,26.6875,0.0
1995-01-01,26.8125,27.0,25.8125,26.1875,0.0
1995-02-01,26.1875,27.375,25.375,27.375,0.235
1995-03-01,27.25,29.4375,26.4375,29.0625,0.0
1995-04-01,28.9375,30.375,28.3125,29.8125,0.0
1995-05-01,29.6875,31.0625,28.5,30.0,0.235
1995-06-01,29.875,30.375,28.25,28.6875,0.0
1995-07-01,28.6875,30.0625,27.4375,28.3125,0.0
1995-08-01,28.3125,28.875,26.9375,27.3125,0.235
1995-09-01,27.3125,28.5,26.9375,28.1875,0.0
1995-10-01,28.25,29.0,27.5625,28.4375,0.0
1995-11-01,28.5,33.125,28.125,32.6875,0.235
1995-12-01,32.75,34.9375,31.625,33.1875,0.0
1996-01-01,33.125,34.3125,31.0,32.25,0.0
1996-02-01,32.25,34.9375,31.6875,32.5625,0.235
1996-03-01,32.8125,33.375,31.0625,32.3125,0.0
1996-04-01,32.75,33.25,31.75,32.875,0.0
1996-05-01,32.875,35.375,31.8125,34.125,0.235
1996-06-01,34.0625,35.1875,33.6875,34.5,0.0
1996-07-01,34.6875,35.6875,30.625,32.5,1.2
1996-08-01,32.46875,34.375,32.4375,34.375,0.245
1996-09-01,34.0,35.875,33.5,34.875,0.0
1996-10-01,34.8125,38.5,34.3125,38.1875,0.0
1996-11-01,38.25,42.5,37.625,41.875,0.245
1996-12-01,41.375,42.9375,39.5,41.5,0.0
1997-01-01,41.5625,43.1875,40.0,42.625,0.0
1997-02-01,42.5625,46.625,41.375,46.0,0.265
1997-03-01,45.75,46.5625,41.9375,42.3125,0.0
1997-04-01,42.0,44.0,40.0625,43.5,0.0
1997-05-01,43.3125,47.375,42.75,45.9375,0.265
1997-06-01,46.0625,52.75,44.8125,51.125,0.0
1997-07-01,51.0,52.25,46.875,47.375,0.0
1997-08-01,47.25,48.375,44.9375,44.9375,0.265
1997-09-01,44.9375,46.6875,43.0,46.21875,0.0
1997-10-01,46.5,50.59375,45.375,45.75,0.0
1997-11-01,46.0,49.25,45.71875,48.71875,0.265
1997-12-01,49.03125,49.9375,40.6875,41.03125,0.0
1998-01-01,41.09375,42.96875,40.03125,41.75,0.0
1998-02-01,42.1875,44.6875,42.15625,42.65625,0.275
1998-03-01,42.65625,48.0625,42.65625,45.5,0.0
1998-04-01,46.3125,48.9375,44.53125,47.1875,0.0
1998-05-01,47.1875,48.75,46.21875,46.3125,0.275
1998-06-01,46.4375,47.46875,40.1875,41.09375,0.0
1998-07-01,41.125,42.21875,37.0,37.5625,0.0
1998-08-01,37.46875,39.78125,34.0,34.25,0.275
1998-09-01,33.875,39.4375,32.8125,36.84375,0.0
1998-10-01,36.6875,43.75,35.46875,39.8125,0.0
1998-11-01,40.0625,42.53125,38.15625,40.25,0.275
1998-12-01,40.15625,40.9375,34.6875,35.5625,0.0
1999-01-01,36.1875,39.53125,34.75,38.8125,0.0
1999-02-01,39.0,39.875,36.75,37.03125,0.28
1999-03-01,36.96875,40.6875,34.65625,35.375,0.0
1999-04-01,35.5,45.5,35.03125,44.5,0.0
1999-05-01,45.125,48.1875,42.0,42.875,0.28
1999-06-01,42.75,46.09375,41.625,43.46875,0.0
1999-07-01,43.0,45.84375,42.5,43.96875,0.0
1999-08-01,43.96875,50.0,43.5625,47.25,0.28
1999-09-01,47.28125,49.9375,45.5625,48.03125,0.0
1999-10-01,48.09375,49.34375,43.71875,47.53125,0.0
1999-11-01,47.5625,51.6875,46.5625,47.78125,0.28
1999-12-01,47.34375,50.40625,45.9375,48.9375,0.0
2000-01-01,48.03125,51.90625,45.125,46.8125,0.0
2000-02-01,47.1875,48.09375,40.65625,44.09375,0.29
2000-03-01,43.59375,47.3125,39.09375,44.28125,0.0
2000-04-01,44.6875,49.15625,42.65625,43.3125,0.0
2000-05-01,43.34375,45.65625,41.625,42.875,0.29
2000-06-01,43.03125,43.9375,40.21875,41.5,0.0
2000-07-01,41.5,45.8125,41.5,45.03125,0.0
2000-08-01,45.25,48.71875,44.4375,46.5078125,0.29
2000-09-01,46.96875,47.96875,40.25,45.5625,0.0
2000-10-01,45.96875,48.375,41.96875,48.3125,0.0
2000-11-01,48.125,50.625,46.375,49.9375,0.29
2000-12-01,49.625,61.46875,49.625,60.25,0.0
2001-01-01,59.0625,60.75,52.03125,55.32500076293945,0.0
2001-02-01,55.45000076293945,57.70000076293945,53.79999923706055,56.375,0.3
2001-03-01,56.375,59.875,49.25,51.95000076293945,0.0
2001-04-01,51.79999923706055,60.959999084472656,48.58000183105469,59.505001068115234,0.0
2001-05-01,59.505001068115234,63.5,57.67499923706055,59.290000915527344,0.3
2001-06-01,59.025001525878906,62.0,57.0,57.04999923706055,0.0
2001-07-01,54.625,58.75,53.38999938964844,55.939998626708984,0.0
2001-08-01,55.75,56.25,51.54999923706055,52.04999923706055,0.3
2001-09-01,52.04999923706055,53.79499816894531,42.93000030517578,49.20000076293945,0.0
2001-10-01,49.0,55.0,47.599998474121094,52.189998626708984,0.0
2001-11-01,52.314998626708984,58.845001220703125,51.70000076293945,57.290000915527344,0.3
2001-12-01,57.20000076293945,60.95000076293945,56.349998474121094,59.10499954223633,0.0
2002-01-01,58.51499938964844,58.994998931884766,50.0,55.5,0.0
2002-02-01,55.5,60.400001525878906,54.0,58.96500015258789,0.31
2002-03-01,58.599998474121094,61.849998474121094,56.45000076293945,57.505001068115234,0.0
2002-04-01,57.57500076293945,64.05000305175781,56.150001525878906,62.900001525878906,0.0
2002-05-01,62.900001525878906,65.30000305175781,61.5,62.71500015258789,0.31
2002-06-01,62.59000015258789,64.80000305175781,59.689998626708984,61.5,0.0
2002-07-01,62.875,65.04499816894531,54.099998474121094,62.915000915527344,0.0
2002-08-01,62.625,64.73999786376953,58.25,62.474998474121094,0.31
2002-09-01,61.82500076293945,63.57500076293945,54.224998474121094,54.98500061035156,0.0
2002-10-01,55.375,64.9000015258789,55.375,63.470001220703125,0.0
2002-11-01,63.345001220703125,65.7750015258789,62.70000076293945,64.92500305175781,0.31
2002-12-01,65.1500015258789,65.23999786376953,59.9900016784668,61.650001525878906,0.0
2003-01-01,61.65999984741211,64.56999969482422,61.525001525878906,62.275001525878906,0.0
2003-02-01,62.80500030517578,63.744998931884766,60.125,62.685001373291016,0.33
2003-03-01,62.92499923706055,67.4749984741211,59.72999954223633,65.01499938964844,0.0
2003-04-01,65.0199966430664,68.375,61.29499816894531,63.02000045776367,0.0
2003-05-01,63.02000045776367,63.369998931884766,60.255001068115234,63.23500061035156,0.33
2003-06-01,63.625,66.94999694824219,62.25,64.48999786376953,0.0
2003-07-01,64.48999786376953,70.81999969482422,63.400001525878906,70.0999984741211,0.0
2003-08-01,69.69999694824219,72.8499984741211,68.88500213623047,71.23500061035156,0.33
2003-09-01,70.5,72.17500305175781,68.15499877929688,69.06999969482422,0.0
2003-10-01,69.94000244140625,79.30000305175781,69.80000305175781,78.87000274658203,0.0
2003-11-01,78.95999908447266,80.16000366210938,76.0,79.04000091552734,0.33
2003-12-01,79.5,85.4000015258789,79.4000015258789,85.02999877929688,0.0
2004-01-01,85.0,86.19999694824219,78.41000366210938,79.08999633789062,0.0
