Date,Open,High,Low,Close,Dividends
1990-04-01,6.25,6.3125,5.8125,5.921875,0.0
1990-05-01,5.8125,6.0,5.3125,5.3125,0.0225
1990-06-01,5.375,5.4375,5.1875,5.25,0.0
1990-07-01,5.25,5.5625,4.9375,5.25,0.0
1990-08-01,5.3125,5.3125,4.203125,4.46875,0.0
1990-09-01,4.359375,4.625,4.34375,4.625,0.0
1990-10-01,4.4375,5.125,4.4375,4.90625,0.0
1990-11-01,5.125,5.5,4.875,5.375,0.0
1990-12-01,5.625,6.0,5.5,5.9375,0.025
1991-01-01,5.75,5.875,5.53125,5.8125,0.0
1991-02-01,5.8125,6.4375,5.75,6.21875,0.025
1991-03-01,6.265625,6.4375,5.875,6.0,0.0
1991-04-01,6.0,6.25,6.0,6.1875,0.0
1991-05-01,6.1875,6.4375,6.0,6.1875,0.025
1991-06-01,6.375,6.8125,6.25,6.59375,0.0
1991-07-01,6.75,6.75,6.4375,6.625,0.0
1991-08-01,6.453125,7.375,6.34375,7.375,0.025
1991-09-01,7.1875,8.375,7.1875,8.3125,0.0
1991-10-01,8.3125,10.625,8.25,10.625,0.0
1991-11-01,10.625,10.875,9.25,9.875,0.0275
1991-12-01,9.875,11.5,9.875,11.5,0.0
1992-01-01,11.25,12.1875,11.125,11.5,0.0
1992-02-01,11.5,13.25,11.5,12.0,0.0
1992-03-01,12.0,12.5625,11.25,12.5,0.0275
1992-04-01,12.3125,12.875,11.5,12.75,0.0
1992-05-01,12.75,12.875,12.25,12.875,0.0
1992-06-01,12.875,14.25,11.875,12.1875,0.0275
1992-07-01,12.03125,13.375,11.875,12.75,0.0
1992-08-01,12.375,12.875,11.5,11.75,0.0275
1992-09-01,11.875,12.375,11.625,12.375,0.0
1992-10-01,12.375,12.375,10.8125,11.75,0.0
1992-11-01,11.75,12.125,10.75,11.6875,0.03
1992-12-01,12.0,13.0,11.25,11.875,0.0
1993-01-01,11.8125,12.0,11.375,11.75,0.0
1993-02-01,11.375,11.75,9.75,10.125,0.0
1993-03-01,10.5,10.875,10.125,10.5,0.03
1993-04-01,10.0,10.375,9.5625,10.0,0.0
1993-05-01,10.0,11.375,9.8125,11.375,0.03
1993-06-01,10.875,11.5,10.375,10.5,0.0
1993-07-01,10.6875,11.0,10.5,10.5,0.0
1993-08-01,10.5,12.25,10.5,12.25,0.03
1993-09-01,12.125,13.25,12.0625,13.25,0.0
1993-10-01,13.09375,13.6875,12.875,13.375,0.0
1993-11-01,13.5,13.5,12.625,12.875,0.035
1993-12-01,12.75,13.4375,12.0625,13.4375,0.0
1994-01-01,13.4375,14.375,13.125,14.1875,0.0
1994-02-01,14.1875,15.375,14.0,14.0,0.035
1994-03-01,14.0,15.75,14.0,15.1875,0.0
1994-04-01,14.8125,15.3125,14.375,14.375,0.0
1994-05-01,14.53125,14.6875,13.75,14.109375,0.035
1994-06-01,13.9375,14.125,13.4375,13.71875,0.0
1994-07-01,13.75,13.9375,13.3125,13.6875,0.0
1994-08-01,13.8125,15.25,13.625,14.75,0.035
1994-09-01,14.75,15.125,14.25,14.390625,0.0
1994-10-01,14.375,14.375,13.625,14.0,0.0
1994-11-01,14.3125,15.125,13.75,14.25,0.04
1994-12-01,14.25,15.25,13.0,15.0,0.0
1995-01-01,15.0625,15.25,13.875,14.0625,0.0
1995-02-01,14.1875,14.3125,13.4375,13.9375,0.04
1995-03-01,13.9375,14.8125,13.625,13.8125,0.0
1995-04-01,14.0,14.4375,13.75,13.875,0.0
1995-05-01,13.875,14.4375,13.8125,14.125,0.04
1995-06-01,14.125,14.125,13.625,13.625,0.0
1995-07-01,13.625,14.0,13.625,13.9375,0.0
1995-08-01,13.75,14.625,13.6875,14.25,0.04
1995-09-01,14.0,14.875,14.0,14.6875,0.0
1995-10-01,14.8125,14.8125,13.75,14.4375,0.0
1995-11-01,14.453125,14.5625,13.9375,14.375,0.045
1995-12-01,14.3125,14.5,13.9375,14.0625,0.0
1996-01-01,14.0625,14.25,13.5,13.5,0.0
1996-02-01,13.5,14.375,13.25,14.125,0.045
1996-03-01,14.3125,15.5,14.0625,15.1875,0.0
1996-04-01,15.1875,15.5,14.625,15.125,0.0
1996-05-01,15.125,15.3125,14.25,14.75,0.045
1996-06-01,14.75,15.0625,14.125,14.125,0.0
1996-07-01,14.21875,14.3125,11.375,12.625,0.0
1996-08-01,12.625,13.0,12.375,12.78125,0.045
1996-09-01,12.6875,13.9375,12.6875,13.9375,0.0
1996-10-01,13.625,14.1875,13.5,13.75,0.0
1996-11-01,13.625,13.8125,13.625,13.625,0.0
1996-12-01,13.625,16.25,13.5625,15.9375,0.05
1997-01-01,15.9375,16.0625,15.1875,15.1875,0.0
1997-02-01,15.5,15.5,14.0,14.0,0.0
1997-03-01,14.03125,14.1875,12.59375,12.8125,0.05
1997-04-01,12.8125,12.8125,11.78125,12.5,0.0
1997-05-01,12.375,13.875,12.375,13.5,0.0
1997-06-01,13.3125,16.25,13.25,16.0625,0.05
1997-07-01,16.0625,16.1875,15.25,15.25,0.0
1997-08-01,15.28125,15.5,14.3125,14.4375,0.0
1997-09-01,14.5625,14.9375,13.875,14.65625,0.05
1997-10-01,14.53125,14.6875,11.875,12.40625,0.0
1997-11-01,12.4375,13.375,12.25,13.125,0.0
1997-12-01,12.875,13.125,11.09375,11.46875,0.055
1998-01-01,11.25,12.625,11.25,12.28125,0.0
1998-02-01,12.59375,12.96875,11.5625,12.15625,0.0
1998-03-01,12.15625,12.5625,12.15625,12.46875,0.055
1998-04-01,12.46875,12.46875,11.0625,11.78125,0.0
1998-05-01,11.53125,11.8125,10.8125,11.375,0.0
1998-06-01,11.375,12.0,11.1875,11.75,0.055
1998-07-01,12.0,13.09375,11.59375,11.765625,0.0
1998-08-01,11.65625,12.75,10.65625,10.65625,0.0
1998-09-01,11.03125,13.0,10.5625,11.75,0.055
1998-10-01,11.25,12.75,11.0625,11.203125,0.0
1998-11-01,11.625,12.375,11.203125,11.9375,0.0
1998-12-01,11.875,13.0,11.875,12.84375,0.06
1999-01-01,12.90625,15.9375,12.765625,15.9375,0.0
