Date,Open,High,Low,Close,Dividends
1992-02-10,2.0,2.28125,2.0,2.25,0.0
1992-02-17,2.21875,2.28125,2.03125,2.28125,0.0
1992-02-24,2.21875,2.59375,2.21875,2.53125,0.0
1992-03-02,2.59375,2.609375,2.34375,2.34375,0.0
1992-03-09,2.34375,2.5625,2.34375,2.53125,0.0
1992-03-16,2.5,2.5625,2.4375,2.53125,0.0
1992-03-23,2.4375,2.53125,2.40625,2.5,0.0
1992-03-30,2.4375,2.5,2.40625,2.46875,0.0
1992-04-06,2.4375,2.5625,2.4375,2.46875,0.0
1992-04-13,2.46875,2.53125,2.4375,2.4375,0.0
1992-04-20,2.40625,2.46875,2.34375,2.40625,0.005
1992-04-27,2.34375,2.4375,2.25,2.3125,0.0
1992-05-04,2.25,2.3125,2.125,2.15625,0.0
1992-05-11,2.15625,2.34375,2.15625,2.21875,0.0
1992-05-18,2.21875,2.25,2.03125,2.0625,0.0
1992-05-25,1.9375,2.0,1.75,1.875,0.0
1992-06-01,1.84375,1.90625,1.8125,1.875,0.0
1992-06-08,1.90625,1.90625,1.8125,1.8125,0.0
1992-06-15,1.8125,1.8125,1.65625,1.75,0.0
1992-06-22,1.75,1.75,1.46875,1.5625,0.005
1992-06-29,1.5625,1.6875,1.46875,1.625,0.0
1992-07-06,1.609375,1.6875,1.46875,1.640625,0.0
1992-07-13,1.65625,1.65625,1.4375,1.484375,0.0
1992-07-20,1.5,1.5625,1.4375,1.484375,0.0
1992-07-27,1.4375,1.625,1.4375,1.5625,0.0
1992-08-03,1.5625,1.71875,1.5625,1.65625,0.0
1992-08-10,1.71875,1.75,1.53125,1.59375,0.0
1992-08-17,1.59375,1.59375,1.53125,1.5625,0.0
1992-08-24,1.46875,1.59375,1.46875,1.53125,0.0
1992-08-31,1.5625,1.59375,1.46875,1.578125,0.0
1992-09-07,1.546875,1.75,1.5,1.6875,0.0
1992-09-14,1.8125,2.25,1.8125,2.0,0.0
1992-09-21,2.03125,2.0625,1.921875,2.0,0.0
1992-09-28,1.9375,2.078125,1.9375,2.0625,0.0
1992-10-05,1.953125,2.03125,1.9375,1.96875,0.005
1992-10-12,2.03125,2.15625,1.9375,2.125,0.0
1992-10-19,2.125,2.15625,2.0625,2.125,0.0
1992-10-26,2.09375,2.40625,2.09375,2.25,0.0
1992-11-02,2.25,2.40625,2.25,2.375,0.0
1992-11-09,2.375,2.53125,2.28125,2.28125,0.0
1992-11-16,2.40625,2.40625,2.03125,2.25,0.0
1992-11-23,2.25,2.34375,2.15625,2.328125,0.0
1992-11-30,2.25,2.34375,2.25,2.34375,0.0
1992-12-07,2.28125,2.46875,2.28125,2.34375,0.0
1992-12-14,2.34375,2.46875,2.21875,2.28125,0.0
1992-12-21,2.28125,2.28125,2.21875,2.28125,0.0
1992-12-28,2.21875,2.3125,2.1875,2.25,0.0
1993-01-04,2.21875,2.5,2.21875,2.40625,0.0
1993-01-11,2.4375,2.78125,2.40625,2.78125,0.0
1993-01-18,2.75,2.84375,2.59375,2.703125,0.005
1993-01-25,2.75,3.15625,2.71875,3.125,0.0
1993-02-01,3.15625,3.3125,3.0,3.09375,0.0
1993-02-08,3.15625,3.59375,3.125,3.46875,0.0
1993-02-15,3.4375,3.53125,3.21875,3.3125,0.0
1993-02-22,3.3125,3.96875,3.09375,3.96875,0.0
1993-03-01,3.96875,4.5,3.84375,4.5,0.0
1993-03-08,4.5,4.875,3.875,4.3125,0.0
1993-03-15,4.3125,4.3125,4.125,4.28125,0.0
1993-03-22,4.21875,4.21875,3.5,4.0625,0.0
1993-03-29,4.03125,4.125,3.875,4.0,0.0
1993-04-05,4.375,4.53125,4.1875,4.5,0.0
1993-04-12,4.53125,4.8125,4.28125,4.625,0.0
1993-04-19,4.5,4.75,4.3125,4.5,0.0
1993-04-26,4.5,4.78125,4.5,4.78125,0.0
1993-05-03,4.78125,5.21875,4.6875,5.125,0.005
1993-05-10,5.1875,5.34375,4.9375,5.125,0.0
1993-05-17,5.125,5.65625,5.125,5.59375,0.0
1993-05-24,5.59375,6.984375,5.5,6.625,0.0
1993-05-31,6.5625,6.5625,6.15625,6.375,0.0
1993-06-07,6.375,6.375,5.625,5.875,0.0
1993-06-14,5.875,6.125,5.6875,5.953125,0.0
1993-06-21,6.125,6.5625,5.9375,6.5625,0.0
1993-06-28,6.375,7.125,6.3125,7.125,0.005
1993-07-05,7.125,7.125,6.875,6.96875,0.0
1993-07-12,7.0625,7.75,6.875,7.5,0.0
1993-07-19,7.375,7.75,7.375,7.703125,0.0
1993-07-26,7.75,7.75,7.375,7.6875,0.0
1993-08-02,7.65625,8.3125,7.59375,8.09375,0.0
1993-08-09,8.1875,8.21875,8.0,8.0625,0.0
1993-08-16,8.21875,8.375,7.625,7.75,0.0
1993-08-23,7.75,9.0,7.3125,8.703125,0.0
1993-08-30,9.0,9.0,8.375,8.65625,0.0075
1993-09-06,8.5,8.8125,8.34375,8.78125,0.0
1993-09-13,8.34375,8.78125,8.34375,8.78125,0.0
1993-09-20,8.78125,9.75,8.125,9.375,0.0
1993-09-27,9.5,9.5,8.625,9.0,0.0
1993-10-04,8.5625,9.0,8.25,8.78125,0.0
1993-10-11,9.0625,9.5,8.6875,9.4375,0.0
1993-10-18,9.5,9.5,8.125,8.25,0.0
1993-10-25,8.25,8.8125,7.375,8.75,0.0
1993-11-01,8.75,9.40625,8.5,9.25,0.0
1993-11-08,9.5,9.5,8.6875,9.0,0.0
1993-11-15,8.6875,9.0,8.0,8.6875,0.0
1993-11-22,8.5625,8.75,8.1875,8.5,0.0
1993-11-29,8.5,8.75,8.25,8.5,0.0
1993-12-06,8.625,9.375,8.375,9.25,0.0
1993-12-13,9.25,9.375,7.125,7.84375,0.0
1993-12-20,8.125,8.125,6.875,7.875,0.0
1993-12-27,7.875,8.125,7.5,8.125,0.0
1994-01-03,7.6875,8.125,7.625,8.125,0.0
1994-01-10,8.125,8.25,7.8125,8.0,0.0075
1994-01-17,8.5,8.5,7.75,7.75,0.0
1994-01-24,7.875,7.875,5.5,6.625,0.0
1994-01-31,6.625,7.5,6.0,6.375,0.0
1994-02-07,6.125,6.625,5.9375,6.25,0.0
1994-02-14,5.9375,7.5,5.9375,7.28125,0.0
1994-02-21,7.5,7.75,6.375,7.0,0.0
1994-02-28,7.15625,7.875,6.875,7.8125,0.0
1994-03-07,7.5,8.0,7.5,7.875,0.0
1994-03-14,7.8125,8.125,7.375,7.6875,0.0
1994-03-21,7.375,7.5,6.375,6.8125,0.0
1994-03-28,7.0625,7.0625,6.25,6.75,0.0
1994-04-04,6.1875,6.5625,5.75,5.75,0.0
1994-04-11,6.125,6.375,5.75,6.1875,0.0075
1994-04-18,6.0,6.375,6.0,6.1875,0.0
1994-04-25,5.875,6.25,5.625,6.0625,0.0
1994-05-02,6.0625,6.6875,5.625,6.28125,0.0
1994-05-09,6.5,6.5,5.6875,5.75,0.0
1994-05-16,6.0,6.125,5.5,5.625,0.0
1994-05-23,6.0,6.0,5.5,5.75,0.0
1994-05-30,5.625,5.9375,5.5,5.75,0.0
1994-06-06,5.5625,6.375,5.5625,6.375,0.0
1994-06-13,6.375,7.0,6.25,7.0,0.0
1994-06-20,7.0,7.0,6.1875,6.25,0.0
1994-06-27,6.1875,6.5625,6.0625,6.375,0.0075
1994-07-04,6.5625,6.5625,6.125,6.5,0.0
1994-07-11,6.1875,6.5,6.0625,6.375,0.0
1994-07-18,6.1875,6.5625,6.0625,6.5,0.0
1994-07-25,6.125,6.8125,6.125,6.75,0.0
1994-08-01,6.375,6.5625,4.5,5.875,0.0
1994-08-08,6.0,6.25,5.5,6.0,0.0
1994-08-15,5.5,6.0,5.375,5.75,0.0
1994-08-22,5.375,5.9375,5.375,5.6875,0.0
1994-08-29,5.875,5.875,5.3125,5.75,0.0
1994-09-05,5.375,5.75,5.3125,5.53125,0.0
1994-09-12,5.3125,6.3125,5.3125,6.125,0.0
1994-09-19,6.0,6.125,5.9375,6.0625,0.0
1994-09-26,5.9375,6.0625,5.875,5.984375,0.0
1994-10-03,5.75,5.9375,5.5625,5.65625,0.0125
1994-10-10,5.5625,5.875,5.5625,5.75,0.0
1994-10-17,5.75,5.8125,5.625,5.75,0.0
1994-10-24,5.6875,6.5,5.6875,6.1875,0.0
1994-10-31,6.25,6.25,5.875,5.9375,0.0
1994-11-07,6.0,7.1875,5.9375,6.8125,0.0
1994-11-14,6.8125,6.9375,6.6875,6.6875,0.0
1994-11-21,6.6875,6.9375,6.5,6.5,0.0
1994-11-28,6.5,6.59375,6.1875,6.25,0.0
1994-12-05,6.375,6.8125,6.0625,6.3125,0.0
1994-12-12,6.1875,6.8125,6.1875,6.59375,0.0
1994-12-19,6.5,6.5625,5.9375,6.09375,0.0
1994-12-26,6.1875,6.3125,6.0,6.3125,0.0
1995-01-02,6.1875,6.3125,6.125,6.125,0.0
1995-01-09,6.25,6.25,6.0,6.0625,0.0125
1995-01-16,6.0,6.1875,5.5625,5.9375,0.0
1995-01-23,5.75,5.875,5.25,5.6875,0.0
1995-01-30,5.75,5.75,5.25,5.375,0.0
1995-02-06,5.375,5.5625,5.3125,5.5,0.0
1995-02-13,5.375,6.375,5.3125,6.3125,0.0
1995-02-20,6.1875,6.5625,6.0625,6.0625,0.0
1995-02-27,6.1875,6.3125,6.0625,6.1875,0.0
1995-03-06,6.1875,6.3125,5.59375,6.0,0.0
1995-03-13,5.9375,6.1875,5.875,6.15625,0.0
1995-03-20,6.25,6.625,6.125,6.375,0.0
1995-03-27,6.46875,6.875,6.375,6.71875,0.0
1995-04-03,6.8125,6.875,6.4375,6.8125,0.0
1995-04-10,6.6875,7.0,6.6875,6.875,0.0
1995-04-17,6.875,7.0,6.6875,6.6875,0.0
1995-04-24,6.6875,6.875,6.6875,6.75,0.0125
1995-05-01,6.6875,8.0,6.6875,7.75,0.0
1995-05-08,7.625,8.09375,7.625,7.75,0.0
1995-05-15,7.6875,8.03125,7.6875,7.875,0.0
1995-05-22,8.03125,8.8125,7.875,8.59375,0.0
1995-05-29,8.53125,8.53125,7.9375,8.3125,0.0
1995-06-05,8.5625,9.0,8.5,8.6875,0.0
1995-06-12,8.75,9.5,8.5,9.25,0.0
1995-06-19,9.25,9.25,8.8125,8.84375,0.0
1995-06-26,8.9375,9.0,8.75,8.75,0.0
1995-07-03,8.765625,9.0,8.375,8.40625,0.0125
1995-07-10,8.375,8.625,8.375,8.4375,0.0
1995-07-17,8.5625,8.6875,8.25,8.4375,0.0
1995-07-24,8.375,8.625,8.375,8.5,0.0
1995-07-31,8.625,8.6875,8.4375,8.625,0.0
1995-08-07,8.625,8.6875,8.4375,8.59375,0.0
