Date,Open,High,Low,Close,Dividends
1994-10-31,23.375,24.25,23.125,23.125,0.0
1994-11-07,23.125,23.25,23.0,23.125,0.0
1994-11-14,23.125,23.875,23.0,23.625,0.0
1994-11-21,23.625,24.0,23.5,23.5,0.0
1994-11-28,23.5,23.75,22.625,22.75,0.0
1994-12-05,22.75,22.75,21.875,22.0,0.0
1994-12-12,22.0,24.875,21.75,24.375,0.0
1994-12-19,24.375,25.0,24.0,25.0,0.0
1994-12-26,24.875,24.875,23.25,24.0,0.0
1995-01-02,24.0,24.5,23.75,24.25,0.0
1995-01-09,24.25,24.25,22.75,23.5,0.0
1995-01-16,23.5,23.875,22.375,22.75,0.0
1995-01-23,22.75,23.75,22.625,22.875,0.0
1995-01-30,22.875,23.25,22.625,22.875,0.0
1995-02-06,22.875,23.375,22.25,23.375,0.0
1995-02-13,23.375,23.875,22.5,23.25,0.0
1995-02-20,23.25,23.375,22.625,22.875,0.0
1995-02-27,22.875,23.5,22.625,23.125,0.0
1995-03-06,23.125,23.375,22.75,23.125,0.0
1995-03-13,23.125,23.5,21.75,21.75,0.0
1995-03-20,21.75,21.875,20.75,21.125,0.0
1995-03-27,21.125,22.375,20.75,22.125,0.0
1995-04-03,22.125,23.0,21.5,21.875,0.0
1995-04-10,21.875,22.375,21.125,21.5,0.0
1995-04-17,21.5,21.875,20.875,21.375,0.0
1995-04-24,21.375,21.875,21.25,21.5,0.0
1995-05-01,21.5,22.0,20.875,21.875,0.0
1995-05-08,21.875,22.0,21.0,21.5,0.0
1995-05-15,21.5,22.25,21.25,22.0,0.0
1995-05-22,22.0,22.5,21.625,22.0,0.0
1995-05-29,22.25,23.625,22.25,23.5,0.0
1995-06-05,23.5,23.875,22.875,23.5,0.0
1995-06-12,23.125,23.125,21.625,22.0,0.0
1995-06-19,22.0,22.25,21.5,21.75,0.0
1995-06-26,21.75,22.125,21.125,22.125,0.0
1995-07-03,22.125,23.0,21.75,22.125,0.0
1995-07-10,22.125,22.375,21.625,22.0,0.0
1995-07-17,22.0,22.0,20.375,21.125,0.0
1995-07-24,21.125,21.875,20.625,21.375,0.0
1995-07-31,21.375,22.375,21.125,22.375,0.0
1995-08-07,22.375,22.5,21.25,21.625,0.0
1995-08-14,21.625,22.0,21.375,21.5,0.0
1995-08-21,21.5,21.75,21.0,21.5,0.0
1995-08-28,21.375,21.625,20.375,20.875,0.0
1995-09-04,20.875,21.25,20.25,21.125,0.0
1995-09-11,21.125,21.375,20.875,21.25,0.0
1995-09-18,21.25,21.25,20.5,20.625,0.0
1995-09-25,20.75,21.25,20.5,20.875,0.0
1995-10-02,20.875,20.875,20.25,20.875,0.0
1995-10-09,20.875,20.875,20.5,20.75,0.0
1995-10-16,20.75,20.875,20.375,20.625,0.0
1995-10-23,20.5,20.75,20.0,20.375,0.0
1995-10-30,20.375,20.625,19.375,20.0,0.0
1995-11-06,20.0,20.25,17.875,18.25,0.0
1995-11-13,18.25,18.625,17.625,18.625,0.0
1995-11-20,18.625,20.25,18.25,20.25,0.0
1995-11-27,20.375,21.0,20.25,20.875,0.0
1995-12-04,20.875,21.0,19.375,19.875,0.0
1995-12-11,19.875,20.0,18.375,18.75,0.0
1995-12-18,18.375,18.875,17.25,18.0,0.0
1995-12-25,18.125,22.0,18.125,22.0,0.0
1996-01-01,21.75,21.75,20.625,21.5,0.0
1996-01-08,21.25,21.25,19.875,20.25,0.0
1996-01-15,20.25,20.625,19.5,20.5,0.0
1996-01-22,20.5,21.125,20.25,20.875,0.0
1996-01-29,20.875,21.25,20.375,20.75,0.0
1996-02-05,20.5,20.5,19.75,19.875,0.0
1996-02-12,19.875,20.25,19.375,20.125,0.0
1996-02-19,19.875,20.25,19.625,20.25,0.0
1996-02-26,20.125,21.875,20.0,21.625,0.0
1996-03-04,21.75,21.75,19.625,19.75,0.0
1996-03-11,19.75,20.625,19.5,20.375,0.0
1996-03-18,20.375,20.5,19.75,19.75,0.0
1996-03-25,19.875,22.5,19.875,22.25,0.0
1996-04-01,22.125,22.125,20.625,21.25,0.0
1996-04-08,21.25,21.625,20.125,21.5,0.0
1996-04-15,21.375,21.5,21.0,21.5,0.0
1996-04-22,21.375,21.75,21.125,21.5,0.0
1996-04-29,21.375,21.375,20.875,21.0,0.0
1996-05-06,21.0,21.75,20.875,21.75,0.0
1996-05-13,21.625,21.625,20.625,20.875,0.0
1996-05-20,20.875,21.125,20.625,20.875,0.0
1996-05-27,20.875,20.875,20.375,20.375,0.0
1996-06-03,20.375,21.0,20.125,20.625,0.0
1996-06-10,20.625,20.625,18.625,19.125,0.0
1996-06-17,19.125,20.125,18.75,19.875,0.0
1996-06-24,19.875,20.0,18.75,19.625,0.0
1996-07-01,19.5,20.125,19.125,19.625,0.0
1996-07-08,19.25,19.5,18.25,18.375,0.0
1996-07-15,18.375,19.125,18.25,18.5,0.0
1996-07-22,18.5,18.625,17.875,17.875,0.0
1996-07-29,17.875,18.25,17.75,18.25,0.0
1996-08-05,18.125,18.25,17.5,17.75,0.0
1996-08-12,17.75,17.875,16.75,17.25,0.0
1996-08-19,17.25,17.875,16.875,17.0,0.0
1996-08-26,17.0,17.375,16.25,16.5,0.0
1996-09-02,16.5,17.125,16.125,17.0,0.0
1996-09-09,17.0,17.75,17.0,17.75,0.0
1996-09-16,17.75,17.875,17.0,17.25,0.0
1996-09-23,17.25,17.375,17.0,17.0,0.0
1996-09-30,17.0,17.25,17.0,17.125,0.0
1996-10-07,17.125,17.375,17.0,17.375,0.0
1996-10-14,17.375,17.625,17.0,17.25,0.0
1996-10-21,17.25,17.5,16.5,17.0,0.0
1996-10-28,17.0,17.375,16.375,16.5,0.0
1996-11-04,16.5,17.125,16.375,17.0,0.0
1996-11-11,17.0,17.625,16.625,16.75,0.0
1996-11-18,16.75,17.5,16.75,17.5,0.0
1996-11-25,17.5,18.375,17.5,18.0,0.0
1996-12-02,18.0,18.875,17.75,18.0,0.0
1996-12-09,18.0,18.625,17.5,18.0,0.0
1996-12-16,18.0,18.0,17.0,18.0,0.0
1996-12-23,17.75,17.75,17.25,17.625,0.0
1996-12-30,17.625,17.875,17.25,17.625,0.0
1997-01-06,17.375,18.375,17.0,18.125,0.0
1997-01-13,18.125,18.625,17.875,18.0,0.0
1997-01-20,18.0,18.125,17.375,17.5,0.0
1997-01-27,17.5,17.875,17.0,17.5,0.0
1997-02-03,17.5,18.25,17.375,17.75,0.0
1997-02-10,17.625,18.0,16.875,17.875,0.0
1997-02-17,17.875,18.625,17.5,18.125,0.0
1997-02-24,18.0,18.0,16.5,16.625,0.0
1997-03-03,16.625,18.0,16.5,18.0,0.0
1997-03-10,18.0,19.375,17.5,18.875,0.0
1997-03-17,18.875,19.0,17.75,18.25,0.0
1997-03-24,18.25,18.25,17.0,17.0,0.0
1997-03-31,17.0,17.0,16.375,17.0,0.0
1997-04-07,16.875,16.875,16.25,16.25,0.0
1997-04-14,16.25,16.75,16.0,16.75,0.0
1997-04-21,16.75,17.375,16.25,16.75,0.0
1997-04-28,16.75,17.75,16.625,17.75,0.0
1997-05-05,17.75,18.375,16.375,16.875,0.0
