Date,Open,High,Low,Close,Dividends
1980-08-04,1.03125,1.046875,0.96875,1.0,0.0
1985-08-12,3.203125,3.25,3.140625,3.203125,0.0
1985-09-16,3.0,3.015625,2.9375,2.9375,0.0
1986-06-09,4.234375,4.25,4.1875,4.21875,0.0
1986-06-16,4.140625,4.21875,3.96875,3.96875,0.0
1986-08-04,3.640625,3.671875,3.640625,3.640625,0.0
1986-10-13,3.15625,3.203125,3.15625,3.15625,0.0
1988-01-04,4.28125,4.375,4.15625,4.15625,0.0
1988-01-11,4.1875,4.25,4.15625,4.1875,0.0175
1988-01-18,4.21875,4.3125,4.21875,4.21875,0.0
1988-01-25,4.21875,4.3125,4.21875,4.3125,0.0
1988-02-01,4.3125,4.375,4.0625,4.0625,0.0
1988-02-08,4.0,4.21875,3.96875,4.21875,0.0
1988-02-15,4.21875,4.34375,4.1875,4.25,0.0
1988-02-22,4.28125,4.3125,3.59375,3.59375,0.0
1988-02-29,3.625,3.8125,3.625,3.75,0.0
1988-03-07,3.6875,3.78125,3.65625,3.75,0.0
1988-03-14,3.75,3.78125,3.6875,3.6875,0.0
1988-03-21,3.6875,3.6875,3.4375,3.5,0.0
1988-03-28,3.40625,3.46875,3.3125,3.40625,0.0
1988-04-04,3.4375,3.46875,3.3125,3.375,0.0
1988-04-11,3.375,3.5,3.3125,3.3125,0.0175
1988-04-18,3.3125,3.40625,3.3125,3.3125,0.0
1988-04-25,3.28125,3.46875,3.28125,3.40625,0.0
1988-05-02,3.46875,3.5,3.34375,3.34375,0.0
1988-05-09,3.34375,3.34375,3.0625,3.0625,0.0
1988-05-16,3.09375,3.625,3.0625,3.53125,0.0
1988-05-23,3.5625,3.71875,3.4375,3.71875,0.0
1988-05-30,3.71875,3.71875,3.625,3.625,0.0
1988-06-06,3.59375,3.8125,3.59375,3.75,0.0
1988-06-13,3.75,3.875,3.65625,3.65625,0.0
1988-06-20,3.625,3.78125,3.625,3.6875,0.0
1988-06-27,3.75,3.75,3.53125,3.65625,0.0
1988-07-04,3.65625,3.6875,3.5625,3.5625,0.0
1988-07-11,3.53125,3.625,3.34375,3.625,0.01875
1988-07-18,3.65625,3.65625,3.5,3.53125,0.0
1988-07-25,3.5625,3.75,3.4375,3.75,0.0
1988-08-01,3.78125,3.875,3.71875,3.71875,0.0
1988-08-08,3.6875,3.75,3.40625,3.4375,0.0
1988-08-15,3.46875,3.53125,3.4375,3.46875,0.0
1988-08-22,3.46875,3.46875,3.375,3.46875,0.0
1988-08-29,3.4375,3.46875,3.40625,3.4375,0.0
1988-09-05,3.4375,3.46875,3.375,3.375,0.0
1988-09-12,3.34375,3.375,3.25,3.3125,0.0
1988-09-19,3.25,3.25,3.125,3.25,0.0
1988-09-26,3.25,3.25,3.1875,3.25,0.0
1988-10-03,3.25,3.25,3.1875,3.21875,0.0
1988-10-10,3.21875,3.4375,3.21875,3.3125,0.01875
1988-10-17,3.3125,3.3125,3.15625,3.1875,0.0
1988-10-24,3.1875,3.59375,3.15625,3.53125,0.0
1988-10-31,3.59375,3.625,3.5,3.59375,0.0
1988-11-07,3.59375,3.59375,3.46875,3.53125,0.0
1988-11-14,3.5,3.625,3.40625,3.59375,0.0
1988-11-21,3.625,3.65625,3.5625,3.5625,0.0
1988-11-28,3.5,3.65625,3.5,3.59375,0.0
1988-12-05,3.5625,3.59375,3.53125,3.5625,0.0
1988-12-12,3.53125,3.625,3.375,3.625,0.0
1988-12-19,3.65625,3.65625,3.59375,3.625,0.0
1988-12-26,3.59375,3.8125,3.59375,3.75,0.0
1989-01-02,3.8125,4.03125,3.8125,3.9375,0.0
1989-01-09,3.9375,4.0,3.9375,3.96875,0.01875
1989-01-16,3.96875,4.0,3.75,3.8125,0.0
1989-01-23,3.78125,3.84375,3.71875,3.8125,0.0
1989-01-30,3.78125,4.09375,3.78125,4.0,0.0
1989-02-06,4.03125,4.125,3.96875,4.0,0.0
1989-02-13,3.96875,4.1875,3.90625,4.1875,0.0
